,Source,Target,Weight,Type
1,HAMILTON_federalist1,HAMILTON_federalist22,2,undirected
2,HAMILTON_federalist1,HAMILTON_federalist84,3,undirected
3,HAMILTON_federalist1,MADISON_federalist14,1,undirected
4,HAMILTON_federalist11,HAMILTON_federalist12,2,undirected
5,HAMILTON_federalist11,HAMILTON_federalist15,2,undirected
6,HAMILTON_federalist11,HAMILTON_federalist22,3,undirected
7,HAMILTON_federalist11,HAMILTON_federalist7,3,undirected
8,HAMILTON_federalist11,HAMILTON_federalist8,1,undirected
9,HAMILTON_federalist11,JAY_federalist5,1,undirected
10,HAMILTON_federalist12,HAMILTON_federalist11,2,undirected
11,HAMILTON_federalist12,HAMILTON_federalist13,3,undirected
12,HAMILTON_federalist12,HAMILTON_federalist21,1,undirected
13,HAMILTON_federalist12,HAMILTON_federalist22,2,undirected
14,HAMILTON_federalist12,HAMILTON_federalist34,1,undirected
15,HAMILTON_federalist12,HAMILTON_federalist7,2,undirected
16,HAMILTON_federalist12,HAMILTON_federalist8,5,undirected
17,HAMILTON_federalist12,MADISON_federalist37,3,undirected
18,HAMILTON_federalist13,HAMILTON_federalist12,3,undirected
19,HAMILTON_federalist13,HAMILTON_federalist21,1,undirected
20,HAMILTON_federalist13,HAMILTON_federalist35,2,undirected
21,HAMILTON_federalist15,HAMILTON_federalist11,2,undirected
22,HAMILTON_federalist15,HAMILTON_federalist22,5,undirected
23,HAMILTON_federalist15,HAMILTON_federalist83,1,undirected
24,HAMILTON_federalist16,HAMILTON_federalist29,1,undirected
25,HAMILTON_federalist16,HAMILTON_federalist60,2,undirected
26,HAMILTON_federalist16,HAMILTON_federalist9,3,undirected
27,HAMILTON_federalist17,HAMILTON_federalist22,2,undirected
28,HAMILTON_federalist17,HAMILTON_federalist28,2,undirected
29,HAMILTON_federalist17,HAMILTON_federalist35,3,undirected
30,HAMILTON_federalist17,HAMILTON_federalist60,1,undirected
31,HAMILTON_federalist17,MADISON_federalist45,2,undirected
32,HAMILTON_federalist21,HAMILTON_federalist12,1,undirected
33,HAMILTON_federalist21,HAMILTON_federalist13,1,undirected
34,HAMILTON_federalist21,HAMILTON_federalist22,3,undirected
35,HAMILTON_federalist21,HAMILTON_federalist36,2,undirected
36,HAMILTON_federalist22,HAMILTON_federalist1,2,undirected
37,HAMILTON_federalist22,HAMILTON_federalist11,3,undirected
38,HAMILTON_federalist22,HAMILTON_federalist12,2,undirected
39,HAMILTON_federalist22,HAMILTON_federalist15,5,undirected
40,HAMILTON_federalist22,HAMILTON_federalist17,2,undirected
41,HAMILTON_federalist22,HAMILTON_federalist21,3,undirected
42,HAMILTON_federalist22,HAMILTON_federalist23,1,undirected
43,HAMILTON_federalist22,HAMILTON_federalist25,3,undirected
44,HAMILTON_federalist22,HAMILTON_federalist26,1,undirected
45,HAMILTON_federalist22,HAMILTON_federalist29,3,undirected
46,HAMILTON_federalist22,HAMILTON_federalist30,3,undirected
47,HAMILTON_federalist22,HAMILTON_federalist31,3,undirected
48,HAMILTON_federalist22,HAMILTON_federalist33,1,undirected
49,HAMILTON_federalist22,HAMILTON_federalist34,3,undirected
50,HAMILTON_federalist22,HAMILTON_federalist35,3,undirected
51,HAMILTON_federalist22,HAMILTON_federalist36,3,undirected
52,HAMILTON_federalist22,HAMILTON_federalist6,3,undirected
53,HAMILTON_federalist22,HAMILTON_federalist65,1,undirected
54,HAMILTON_federalist22,HAMILTON_federalist66,1,undirected
55,HAMILTON_federalist22,HAMILTON_federalist69,2,undirected
56,HAMILTON_federalist22,HAMILTON_federalist7,1,undirected
57,HAMILTON_federalist22,HAMILTON_federalist70,4,undirected
58,HAMILTON_federalist22,HAMILTON_federalist72,2,undirected
59,HAMILTON_federalist22,HAMILTON_federalist74,2,undirected
60,HAMILTON_federalist22,HAMILTON_federalist75,1,undirected
61,HAMILTON_federalist22,HAMILTON_federalist79,2,undirected
62,HAMILTON_federalist22,HAMILTON_federalist81,5,undirected
63,HAMILTON_federalist22,HAMILTON_federalist83,1,undirected
64,HAMILTON_federalist22,HAMILTON_federalist84,1,undirected
65,HAMILTON_federalist22,HAMILTON_federalist85,2,undirected
66,HAMILTON_federalist22,HAMILTON_federalist9,1,undirected
67,HAMILTON_federalist22,MADISON_federalist10,2,undirected
68,HAMILTON_federalist22,MADISON_federalist37,1,undirected
69,HAMILTON_federalist22,MADISON_federalist38,3,undirected
70,HAMILTON_federalist22,MADISON_federalist39,1,undirected
71,HAMILTON_federalist23,HAMILTON_federalist22,1,undirected
72,HAMILTON_federalist23,HAMILTON_federalist31,2,undirected
73,HAMILTON_federalist23,HAMILTON_federalist36,3,undirected
74,HAMILTON_federalist24,HAMILTON_federalist25,4,undirected
75,HAMILTON_federalist24,HAMILTON_federalist26,5,undirected
76,HAMILTON_federalist24,HAMILTON_federalist83,1,undirected
77,HAMILTON_federalist25,HAMILTON_federalist22,3,undirected
78,HAMILTON_federalist25,HAMILTON_federalist24,4,undirected
79,HAMILTON_federalist25,HAMILTON_federalist61,3,undirected
80,HAMILTON_federalist25,HAMILTON_federalist8,2,undirected
81,HAMILTON_federalist26,HAMILTON_federalist22,1,undirected
82,HAMILTON_federalist26,HAMILTON_federalist24,5,undirected
83,HAMILTON_federalist26,HAMILTON_federalist29,3,undirected
84,HAMILTON_federalist27,HAMILTON_federalist35,1,undirected
85,HAMILTON_federalist27,HAMILTON_federalist36,3,undirected
86,HAMILTON_federalist27,HAMILTON_federalist60,2,undirected
87,HAMILTON_federalist28,HAMILTON_federalist17,2,undirected
88,HAMILTON_federalist28,HAMILTON_federalist29,1,undirected
89,HAMILTON_federalist28,HAMILTON_federalist36,3,undirected
90,HAMILTON_federalist29,HAMILTON_federalist16,1,undirected
91,HAMILTON_federalist29,HAMILTON_federalist22,3,undirected
92,HAMILTON_federalist29,HAMILTON_federalist26,3,undirected
93,HAMILTON_federalist29,HAMILTON_federalist28,1,undirected
94,HAMILTON_federalist29,HAMILTON_federalist66,2,undirected
95,HAMILTON_federalist30,HAMILTON_federalist22,3,undirected
96,HAMILTON_federalist30,HAMILTON_federalist36,2,undirected
97,HAMILTON_federalist30,HAMILTON_federalist65,1,undirected
98,HAMILTON_federalist31,HAMILTON_federalist22,3,undirected
99,HAMILTON_federalist31,HAMILTON_federalist23,2,undirected
100,HAMILTON_federalist31,HAMILTON_federalist36,2,undirected
101,HAMILTON_federalist31,HAMILTON_federalist60,1,undirected
102,HAMILTON_federalist32,HAMILTON_federalist33,2,undirected
103,HAMILTON_federalist32,HAMILTON_federalist81,3,undirected
104,HAMILTON_federalist32,MADISON_federalist42,1,undirected
105,HAMILTON_federalist33,HAMILTON_federalist22,1,undirected
106,HAMILTON_federalist33,HAMILTON_federalist32,2,undirected
107,HAMILTON_federalist33,HAMILTON_federalist81,2,undirected
108,HAMILTON_federalist33,MADISON_federalist41,3,undirected
109,HAMILTON_federalist34,HAMILTON_federalist12,1,undirected
110,HAMILTON_federalist34,HAMILTON_federalist22,3,undirected
111,HAMILTON_federalist34,HAMILTON_federalist83,2,undirected
112,HAMILTON_federalist35,HAMILTON_federalist13,2,undirected
113,HAMILTON_federalist35,HAMILTON_federalist17,3,undirected
114,HAMILTON_federalist35,HAMILTON_federalist22,3,undirected
115,HAMILTON_federalist35,HAMILTON_federalist27,1,undirected
116,HAMILTON_federalist35,HAMILTON_federalist70,1,undirected
117,HAMILTON_federalist35,HAMILTON_federalist78,3,undirected
118,HAMILTON_federalist35,JAY_federalist64,2,undirected
119,HAMILTON_federalist35,MADISON_federalist10,1,undirected
120,HAMILTON_federalist35,MADISON_federalist38,1,undirected
121,HAMILTON_federalist35,MADISON_federalist46,1,undirected
122,HAMILTON_federalist36,HAMILTON_federalist21,2,undirected
123,HAMILTON_federalist36,HAMILTON_federalist22,3,undirected
124,HAMILTON_federalist36,HAMILTON_federalist23,3,undirected
125,HAMILTON_federalist36,HAMILTON_federalist27,3,undirected
126,HAMILTON_federalist36,HAMILTON_federalist28,3,undirected
127,HAMILTON_federalist36,HAMILTON_federalist30,2,undirected
128,HAMILTON_federalist36,HAMILTON_federalist31,2,undirected
129,HAMILTON_federalist36,HAMILTON_federalist59,2,undirected
130,HAMILTON_federalist36,HAMILTON_federalist78,1,undirected
131,HAMILTON_federalist36,HAMILTON_federalist81,2,undirected
132,HAMILTON_federalist36,HAMILTON_federalist82,2,undirected
133,HAMILTON_federalist59,HAMILTON_federalist36,2,undirected
134,HAMILTON_federalist59,HAMILTON_federalist60,1,undirected
135,HAMILTON_federalist59,HAMILTON_federalist81,3,undirected
136,HAMILTON_federalist6,HAMILTON_federalist22,3,undirected
137,HAMILTON_federalist6,HAMILTON_federalist70,1,undirected
138,HAMILTON_federalist6,HAMILTON_federalist9,2,undirected
139,HAMILTON_federalist60,HAMILTON_federalist16,2,undirected
140,HAMILTON_federalist60,HAMILTON_federalist17,1,undirected
141,HAMILTON_federalist60,HAMILTON_federalist27,2,undirected
142,HAMILTON_federalist60,HAMILTON_federalist31,1,undirected
143,HAMILTON_federalist60,HAMILTON_federalist59,1,undirected
144,HAMILTON_federalist60,HAMILTON_federalist61,1,undirected
145,HAMILTON_federalist60,HAMILTON_federalist78,2,undirected
146,HAMILTON_federalist60,HAMILTON_federalist81,3,undirected
147,HAMILTON_federalist60,HAMILTON_federalist83,1,undirected
148,HAMILTON_federalist61,HAMILTON_federalist25,3,undirected
149,HAMILTON_federalist61,HAMILTON_federalist60,1,undirected
150,HAMILTON_federalist61,HAMILTON_federalist81,2,undirected
151,HAMILTON_federalist65,HAMILTON_federalist22,1,undirected
152,HAMILTON_federalist65,HAMILTON_federalist30,1,undirected
153,HAMILTON_federalist65,HAMILTON_federalist66,4,undirected
154,HAMILTON_federalist65,HAMILTON_federalist72,1,undirected
155,HAMILTON_federalist65,HAMILTON_federalist76,6,undirected
156,HAMILTON_federalist65,HAMILTON_federalist77,1,undirected
157,HAMILTON_federalist66,HAMILTON_federalist22,1,undirected
158,HAMILTON_federalist66,HAMILTON_federalist29,2,undirected
159,HAMILTON_federalist66,HAMILTON_federalist65,4,undirected
160,HAMILTON_federalist66,HAMILTON_federalist68,1,undirected
161,HAMILTON_federalist66,HAMILTON_federalist69,1,undirected
162,HAMILTON_federalist66,HAMILTON_federalist73,5,undirected
163,HAMILTON_federalist66,HAMILTON_federalist75,2,undirected
164,HAMILTON_federalist66,HAMILTON_federalist77,2,undirected
165,HAMILTON_federalist67,HAMILTON_federalist75,3,undirected
166,HAMILTON_federalist67,HAMILTON_federalist85,2,undirected
167,HAMILTON_federalist67,MADISON_federalist42,1,undirected
168,HAMILTON_federalist68,HAMILTON_federalist66,1,undirected
169,HAMILTON_federalist68,HAMILTON_federalist70,3,undirected
170,HAMILTON_federalist68,HAMILTON_federalist73,2,undirected
171,HAMILTON_federalist69,HAMILTON_federalist22,2,undirected
172,HAMILTON_federalist69,HAMILTON_federalist66,1,undirected
173,HAMILTON_federalist69,HAMILTON_federalist83,3,undirected
174,HAMILTON_federalist7,HAMILTON_federalist11,3,undirected
175,HAMILTON_federalist7,HAMILTON_federalist12,2,undirected
176,HAMILTON_federalist7,HAMILTON_federalist22,1,undirected
177,HAMILTON_federalist70,HAMILTON_federalist22,4,undirected
178,HAMILTON_federalist70,HAMILTON_federalist35,1,undirected
179,HAMILTON_federalist70,HAMILTON_federalist6,1,undirected
180,HAMILTON_federalist70,HAMILTON_federalist68,3,undirected
181,HAMILTON_federalist70,HAMILTON_federalist71,3,undirected
182,HAMILTON_federalist70,HAMILTON_federalist9,4,undirected
183,HAMILTON_federalist70,MADISON_federalist38,3,undirected
184,HAMILTON_federalist71,HAMILTON_federalist70,3,undirected
185,HAMILTON_federalist71,HAMILTON_federalist72,4,undirected
186,HAMILTON_federalist71,HAMILTON_federalist73,3,undirected
187,HAMILTON_federalist72,HAMILTON_federalist22,2,undirected
188,HAMILTON_federalist72,HAMILTON_federalist65,1,undirected
189,HAMILTON_federalist72,HAMILTON_federalist71,4,undirected
190,HAMILTON_federalist73,HAMILTON_federalist66,5,undirected
191,HAMILTON_federalist73,HAMILTON_federalist68,2,undirected
192,HAMILTON_federalist73,HAMILTON_federalist71,3,undirected
193,HAMILTON_federalist73,HAMILTON_federalist76,5,undirected
194,HAMILTON_federalist74,HAMILTON_federalist22,2,undirected
195,HAMILTON_federalist74,HAMILTON_federalist75,1,undirected
196,HAMILTON_federalist74,HAMILTON_federalist81,3,undirected
197,HAMILTON_federalist75,HAMILTON_federalist22,1,undirected
198,HAMILTON_federalist75,HAMILTON_federalist66,2,undirected
199,HAMILTON_federalist75,HAMILTON_federalist67,3,undirected
200,HAMILTON_federalist75,HAMILTON_federalist74,1,undirected
201,HAMILTON_federalist75,HAMILTON_federalist76,1,undirected
202,HAMILTON_federalist75,HAMILTON_federalist77,6,undirected
203,HAMILTON_federalist75,MADISON_federalist47,2,undirected
204,HAMILTON_federalist76,HAMILTON_federalist65,6,undirected
205,HAMILTON_federalist76,HAMILTON_federalist73,5,undirected
206,HAMILTON_federalist76,HAMILTON_federalist75,1,undirected
207,HAMILTON_federalist77,HAMILTON_federalist65,1,undirected
