,Source,Target,Weight,Type
1,HAMILTON_federalist1,HAMILTON_federalist11,1,undirected
2,HAMILTON_federalist1,HAMILTON_federalist15,4,undirected
3,HAMILTON_federalist1,HAMILTON_federalist22,9,undirected
4,HAMILTON_federalist1,HAMILTON_federalist31,1,undirected
5,HAMILTON_federalist1,HAMILTON_federalist7,4,undirected
6,HAMILTON_federalist1,HAMILTON_federalist84,4,undirected
7,HAMILTON_federalist1,HAMILTON_federalist85,27,undirected
8,HAMILTON_federalist1,HAMILTON_federalist9,1,undirected
9,HAMILTON_federalist1,JAY_federalist2,10,undirected
10,HAMILTON_federalist1,MADISON_federalist14,5,undirected
11,HAMILTON_federalist11,HAMILTON_federalist1,1,undirected
12,HAMILTON_federalist11,HAMILTON_federalist12,54,undirected
13,HAMILTON_federalist11,HAMILTON_federalist13,20,undirected
14,HAMILTON_federalist11,HAMILTON_federalist15,10,undirected
15,HAMILTON_federalist11,HAMILTON_federalist21,2,undirected
16,HAMILTON_federalist11,HAMILTON_federalist22,21,undirected
17,HAMILTON_federalist11,HAMILTON_federalist34,4,undirected
18,HAMILTON_federalist11,HAMILTON_federalist6,8,undirected
19,HAMILTON_federalist11,HAMILTON_federalist60,3,undirected
20,HAMILTON_federalist11,HAMILTON_federalist7,45,undirected
21,HAMILTON_federalist11,HAMILTON_federalist8,14,undirected
22,HAMILTON_federalist11,JAY_federalist3,4,undirected
23,HAMILTON_federalist11,JAY_federalist4,13,undirected
24,HAMILTON_federalist11,JAY_federalist5,13,undirected
25,HAMILTON_federalist11,MADISON_federalist46,7,undirected
26,HAMILTON_federalist12,HAMILTON_federalist11,54,undirected
27,HAMILTON_federalist12,HAMILTON_federalist13,3,undirected
28,HAMILTON_federalist12,HAMILTON_federalist16,1,undirected
29,HAMILTON_federalist12,HAMILTON_federalist17,1,undirected
30,HAMILTON_federalist12,HAMILTON_federalist21,16,undirected
31,HAMILTON_federalist12,HAMILTON_federalist22,4,undirected
32,HAMILTON_federalist12,HAMILTON_federalist24,1,undirected
33,HAMILTON_federalist12,HAMILTON_federalist34,13,undirected
34,HAMILTON_federalist12,HAMILTON_federalist35,13,undirected
35,HAMILTON_federalist12,HAMILTON_federalist36,26,undirected
36,HAMILTON_federalist12,HAMILTON_federalist6,8,undirected
37,HAMILTON_federalist12,HAMILTON_federalist7,25,undirected
38,HAMILTON_federalist12,HAMILTON_federalist8,19,undirected
39,HAMILTON_federalist12,HAMILTON_federalist9,4,undirected
40,HAMILTON_federalist12,MADISON_federalist10,2,undirected
41,HAMILTON_federalist12,MADISON_federalist37,6,undirected
42,HAMILTON_federalist13,HAMILTON_federalist11,20,undirected
43,HAMILTON_federalist13,HAMILTON_federalist12,3,undirected
44,HAMILTON_federalist13,HAMILTON_federalist21,12,undirected
45,HAMILTON_federalist13,HAMILTON_federalist22,6,undirected
46,HAMILTON_federalist13,HAMILTON_federalist29,2,undirected
47,HAMILTON_federalist13,HAMILTON_federalist35,2,undirected
48,HAMILTON_federalist13,HAMILTON_federalist74,6,undirected
49,HAMILTON_federalist13,HAMILTON_federalist8,1,undirected
50,HAMILTON_federalist13,HAMILTON_federalist9,1,undirected
51,HAMILTON_federalist13,JAY_federalist4,5,undirected
52,HAMILTON_federalist13,MADISON_federalist14,1,undirected
53,HAMILTON_federalist13,MADISON_federalist38,1,undirected
