"hamilton-federalist" "jay-federalist" "madison-federalist"
"the" 9.29631680244668 6.29995298542548 10.0923434886934
"of" 6.45767969978996 4.34884814292431 5.97687777212245
"to" 4.04176223997469 3.44381758345087 3.21869167939116
"and" 2.38252172919578 4.84250117536436 2.94723575462323
"in" 2.48183008603795 1.92759755524212 2.09893598972345
"a" 2.19708754075597 1.17536436295252 1.99229259070748
"be" 2.03010888765852 1.8688293370945 1.95836060011149
"that" 1.5063232179423 1.76304654442877 1.39605904166364
"it" 1.35516359513828 1.62200282087447 1.26275479289367
"is" 1.16533523161697 0.669957686882934 1.20700937977169
"which" 1.08975542021496 0.658204043253409 1.09309483991372
"as" 0.855106470862225 1.19887165021157 0.95979059114375
"by" 0.755798114020055 0.963798777621062 1.1561113938777
"this" 0.811164720047106 0.446638457921956 0.637436680481834
"would" 0.81643773014492 0.79924776680771 0.414455027993892
"have" 0.686370147732166 0.622943112364833 0.688334666375821
"or" 0.660005097243095 1.05782792665726 0.588962408201847
"for" 0.63979189186814 0.716972261401034 0.668944957463826
"will" 0.613426841379068 0.846262341325811 0.69075837998982
"not" 0.616063346427975 0.763986835919135 0.659250103007829
"from" 0.580031110759577 0.646450399623883 0.518674713395865
"their" 0.505330134373874 0.975552421250588 0.598657262657844
"with" 0.534331689911853 0.705218617771509 0.545335563149858
"are" 0.510603144471688 0.622943112364833 0.521098427009865
"an" 0.558060235352017 0.199811941701928 0.42172616883589
"they" 0.463146053591359 1.02256699576869 0.470200441115878
"states" 0.405142942515402 0.223319228960978 0.637436680481834
"on" 0.332199636162303 0.517160319699107 0.761046074795802
"been" 0.428871487955566 0.188058298072402 0.504132431711869
"government" 0.369110706847004 0.528913963328632 0.579267553745849
"may" 0.413931292678425 0.399623883403855 0.458081873045881
"state" 0.426234982906659 0.235072872590503 0.428997309677888
"all" 0.383172067107842 0.282087447108604 0.392641605467898
"but" 0.351534006520956 0.481899388810531 0.361133328485906
"power" 0.368231871830701 0.223319228960978 0.344167333187911
"its" 0.364716531765492 0.223319228960978 0.334472478731913
"has" 0.33835148127642 0.199811941701928 0.349014760415909
"other" 0.304076915640627 0.352609308885755 0.395065319081897
"no" 0.30144041059172 0.176304654442877 0.373251896555903
"if" 0.332199636162303 0.41137752703338 0.215710511645944
"at" 0.332199636162303 0.258580159849553 0.198744516347948
"more" 0.263650504890717 0.540667606958157 0.319930197047917
"than" 0.285621380298277 0.38787023977433 0.281150779223927
"any" 0.320774780950372 0.258580159849553 0.208439370803946
"people" 0.238164289417948 0.564174894217207 0.353862187643908
"them" 0.26101399984181 0.552421250587682 0.293269347293924
"one" 0.250467979646181 0.528913963328632 0.30781162897792
"those" 0.286500215314579 0.423131170662906 0.184202234663952
"there" 0.333078471178606 0.117536436295252 0.0848299764899779
"we" 0.268923514988531 0.293841090738129 0.19147337550595
"constitution" 0.210920403912573 0.0705218617771509 0.380523037397901
