"HAMILTON_federalist1" "HAMILTON_federalist11" "HAMILTON_federalist12" "HAMILTON_federalist13" "HAMILTON_federalist15" "HAMILTON_federalist16" "HAMILTON_federalist17" "HAMILTON_federalist21" "HAMILTON_federalist22" "HAMILTON_federalist23" "HAMILTON_federalist24" "HAMILTON_federalist25" "HAMILTON_federalist26" "HAMILTON_federalist27" "HAMILTON_federalist28" "HAMILTON_federalist29" "HAMILTON_federalist30" "HAMILTON_federalist31" "HAMILTON_federalist32" "HAMILTON_federalist33" "HAMILTON_federalist34" "HAMILTON_federalist35" "HAMILTON_federalist36" "HAMILTON_federalist59" "HAMILTON_federalist6" "HAMILTON_federalist60" "HAMILTON_federalist61" "HAMILTON_federalist65" "HAMILTON_federalist66" "HAMILTON_federalist67" "HAMILTON_federalist68" "HAMILTON_federalist69" "HAMILTON_federalist7" "HAMILTON_federalist70" "HAMILTON_federalist71" "HAMILTON_federalist72" "HAMILTON_federalist73" "HAMILTON_federalist74" "HAMILTON_federalist75" "HAMILTON_federalist76" "HAMILTON_federalist77" "HAMILTON_federalist78" "HAMILTON_federalist79" "HAMILTON_federalist8" "HAMILTON_federalist80" "HAMILTON_federalist81" "HAMILTON_federalist82" "HAMILTON_federalist83" "HAMILTON_federalist84" "HAMILTON_federalist85" "HAMILTON_federalist9" "JAY_federalist2" "JAY_federalist3" "JAY_federalist4" "JAY_federalist5" "JAY_federalist64" "MADISON_federalist10" "MADISON_federalist14" "MADISON_federalist37" "MADISON_federalist38" "MADISON_federalist39" "MADISON_federalist40" "MADISON_federalist41" "MADISON_federalist42" "MADISON_federalist43" "MADISON_federalist44" "MADISON_federalist45" "MADISON_federalist46" "MADISON_federalist47" "MADISON_federalist48" "MADISON_federalist58"
"the" 8.2512315270936 7.5583696082311 8.24553366926248 7.71573604060914 8.31185567010309 9.58837772397094 10.4833647206529 9.23994038748137 8.36363636363636 10.4860731840524 7.51359367276322 8.89220069547938 8.52390852390852 10.377358490566 10.4907975460123 9.9511328298534 8.35430296930045 9.39100739897553 10.1324503311258 9.40970192869667 8.44504021447721 8.39929639401935 9.19956537486418 9.34434692823955 8.31295843520782 10.0175746924429 10.0064557779212 10.9367336929868 11.077191452246 11.1044417767107 9.51443569553806 10.781041388518 9.0752688172043 9.27703134996801 10.3741496598639 8.77363063499758 8.87029288702929 10.5928085519922 10.765306122449 9.17707884532529 9.25462731365683 10.2246825138391 8.59598853868195 7.76277724204436 10.3964401294498 9.96948118006104 10.854206807964 8.30201571574992 9.31395902810862 9.04334828101644 8.56147336983574 6.40949554896142 6.48021828103683 5.30120481927711 4.98899486426999 7.59982825246887 8.71862615587847 9.42263279445728 8.50675428988682 8.24126604956703 11.5296803652968 9.73770491803279 9.50911640953717 9.46090681899322 10.4347826086957 10.9016112444292 13.1934731934732 11.5996967399545 11.9494584837545 8.994708994709 10.194404931247
"of" 6.52709359605911 7.16264345073209 6.5048098946404 5.98984771573604 6.34664948453608 6.97336561743341 6.96798493408663 7.55091902632886 6.7972027972028 5.57072637902785 5.93178447849728 6.25931445603577 6.1954261954262 6.33423180592992 6.01226993865031 6.84140382052421 5.73729240060393 6.03301081388731 6.09271523178808 5.31852717708942 6.16621983914209 5.76077396657872 6.48315827598696 5.9370160041301 7.53056234718826 6.45869947275923 6.5848934796643 6.4737616478666 7.37025730484082 6.60264105642257 5.83989501312336 7.81041388518024 6.79569892473118 5.88611644273832 5.72562358276644 5.86524478914203 6.02510460251046 8.26044703595724 7.6530612244898 5.98879793192589 7.2536268134067 6.12178443503745 5.2531041069723 6.55737704918033 6.87702265372168 6.33265513733469 6.03725112395633 5.65425350187906 6.97951405431158 6.31539611360239 7.715281234445 4.92581602373887 4.22919508867667 4.33734939759036 3.88848129126926 4.293688278231 5.18494055482166 5.77367205542725 5.8780576852866 5.70319498357719 6.01217656012177 5.73770491803279 5.75035063113604 6.56908247054623 6.46376811594203 5.89646897497429 6.71328671328671 6.17892342683851 6.82310469314079 5.29100529100529 5.64248458985301
"to" 4.43349753694581 3.36367233874159 3.8021071919377 4.46700507614213 3.80154639175258 4.35835351089588 3.7037037037037 2.73224043715847 4.05594405594406 5.35226652102676 4.54770143351458 4.52061599602583 3.99168399168399 4.31266846361186 4.11042944785276 4.9755664149267 3.82486160040262 4.66704610130905 3.11258278145695 3.91583869082408 4.781054512958 4.4415127528584 4.34625135820355 3.82034073309241 2.8361858190709 3.86643233743409 4.0025823111685 4.16871015203531 3.75054513737462 5.04201680672269 4.98687664041995 3.4045393858478 3.52688172043011 3.83877159309021 4.42176870748299 4.79883664566166 3.47280334728033 3.49854227405248 4.64285714285714 4.1361482119776 3.60180090045022 4.16802344513188 4.01146131805158 3.8572806171649 4.61165048543689 4.14547304170905 5.33076429030186 3.75811411001025 3.3587422582182 4.26008968609866 3.53409656545545 3.14540059347181 3.81991814461119 3.07228915662651 3.3015407190022 3.77844568484328 3.30250990752972 3.37182448036951 3.10332238043081 3.52343983278591 3.50076103500761 3.9672131147541 3.33800841514726 3.32024277043913 3.2463768115942 2.7768255056565 3.12354312354312 3.26004548900682 2.34657039711191 2.91005291005291 2.89236605026079
"and" 2.46305418719212 2.80965571824298 2.84012826385708 1.82741116751269 2.3840206185567 2.03389830508475 3.26428123038293 2.43417784401391 2.32167832167832 3.05843801201529 2.91646070192783 2.28514654744163 2.03742203742204 2.22371967654987 2.14723926380368 2.62105730786317 2.26472068444892 2.50426863972681 2.71523178807947 2.57159555815313 2.14477211796247 2.85839929639402 2.39043824701195 1.75529168817759 3.61858190709046 1.62565905096661 1.61394448030988 1.81461500735655 1.83166157871784 2.76110444177671 1.96850393700787 3.47129506008011 2.19354838709677 2.52719129878439 2.2108843537415 2.56907416383907 1.79916317991632 2.42954324586978 1.83673469387755 2.3696682464455 2.10105052526263 2.40963855421687 2.29226361031519 2.60366441658631 2.75080906148867 2.26347914547304 2.63326910725755 2.06696276050564 2.12005717008099 2.69058295964126 2.28969636635142 4.98516320474777 4.16098226466576 5.48192771084337 5.3558327219369 4.42249892657793 4.02906208718626 2.77136258660508 3.68747718145308 2.83666766198865 2.43531202435312 3.31147540983607 2.46844319775596 3.42734737593717 2.28985507246377 3.0167980802194 2.93706293706294 2.80515542077331 3.14079422382671 2.6984126984127 2.22854433380749
"in" 1.66256157635468 2.65136525524337 2.51946862116354 1.6243654822335 2.35180412371134 1.88861985472155 1.82046453232894 2.38450074515648 2.40559440559441 1.4199890770071 2.7681660899654 1.98708395429707 2.7027027027027 2.08894878706199 2.51533742331288 1.82141270546424 2.46602918973327 2.78884462151394 2.64900662251656 1.92869666861485 2.45755138516533 2.06684256816183 2.35421948569359 3.20082601961797 2.68948655256724 3.55887521968366 3.03421562298257 2.50122609122119 3.09638028783253 2.1608643457383 2.6246719160105 2.30307076101469 1.8494623655914 2.7831094049904 2.26757369614512 1.6965584100824 2.59414225941423 2.33236151603499 2.24489795918367 2.5420077552779 3.00150075037519 2.21426245522631 3.34288443170965 2.02507232401157 1.90129449838188 3.43336724313327 2.44059087989724 3.65562008882815 2.16769890424011 2.72795216741405 1.84171229467397 2.01780415430267 1.70532060027285 1.44578313253012 2.0542920029347 2.27565478746243 2.08058124174373 1.84757505773672 2.30010952902519 1.85129889519259 2.77777777777778 2.22950819672131 1.7671809256662 2.21349518029275 1.59420289855072 2.26259856016455 1.86480186480186 1.74374526156179 2.23826714801444 2.38095238095238 2.75011853959222
"a" 1.53940886699507 2.77008310249307 2.1530004580852 2.63959390862944 2.2229381443299 1.79176755447942 1.88323917137476 3.17933432687531 2.74125874125874 1.36537411250683 2.52100840336134 2.18579234972678 2.2037422037422 2.02156334231806 2.02453987730061 2.22123500666371 1.91243080020131 1.36596471257826 2.3841059602649 2.57159555815313 2.01072386058981 1.97889182058047 1.59362549800797 2.52968508002065 2.29828850855746 2.3286467486819 2.25952227243383 2.15792054928887 2.18054949847362 1.4405762304922 1.96850393700787 2.20293724966622 2.06451612903226 2.14331413947537 2.55102040816327 2.66602035870092 2.67782426778243 2.62390670553936 2.6530612244898 2.1973287376131 3.2016008004002 1.88863562357538 2.19675262655205 2.21793635486982 1.53721682847896 2.21261444557477 1.41297366730893 2.37444482405193 1.71510242972844 2.54110612855007 2.38924838227974 1.78041543026706 0.886766712141883 0.963855421686747 0.66030814380044 1.37398024903392 2.60898282694848 1.70900692840647 2.08105147864184 2.74708868318901 2.01674277016743 1.77049180327869 2.27208976157083 1.78507675830061 2.69565217391304 1.47411724374357 0.932400932400932 1.59211523881729 1.26353790613718 1.85185185185185 2.41820768136558
"be" 2.0935960591133 1.74119509299565 1.83234081539166 2.53807106598985 1.41752577319588 2.6634382566586 1.50659133709981 1.98708395429707 1.51048951048951 2.45767340251229 2.57043994068216 2.58320914058619 2.24532224532225 2.2911051212938 2.51533742331288 2.22123500666371 2.46602918973327 2.04894706886739 1.98675496688742 1.87025131502046 1.87667560321716 1.97889182058047 2.86128214415067 2.2715539494063 0.880195599022005 2.94376098418278 2.38863783085862 3.18783717508583 1.70082860880942 1.08043217286915 2.36220472440945 1.7022696929239 2.02150537634409 1.21561100447857 2.15419501133787 1.98739699466796 2.05020920502092 2.33236151603499 1.42857142857143 3.1451960361913 1.90095047523762 2.14913708889613 2.86532951289398 1.68756027000964 1.94174757281553 2.1617497456765 2.3121387283237 1.79364537068671 2.2391615054788 1.23318385650224 1.29417620706819 0.890207715133531 2.11459754433834 1.50602409638554 2.27439471753485 2.44740231859167 2.01453104359313 2.07852193995381 1.71595472800292 1.52284263959391 1.97869101978691 1.77049180327869 2.07573632538569 1.71367368796858 2.26086956521739 1.851217003771 2.42424242424242 2.72934040940106 1.26353790613718 1.69312169312169 2.51303935514462
"that" 1.72413793103448 0.989315393747527 1.23683005038937 1.82741116751269 1.22422680412371 0.774818401937046 1.31826741996234 1.19225037257824 1.48251748251748 1.52921900600765 1.63124073158675 1.53999006458023 1.74636174636175 2.56064690026954 1.22699386503067 1.33274100399822 1.5601409159537 1.70745589072282 2.11920529801325 1.87025131502046 1.92135835567471 1.62708883025506 1.52118797537124 1.49716055756324 1.07579462102689 2.02108963093146 2.06584893479664 1.17704757233938 1.569995638901 0.960384153661465 1.31233595800525 1.53538050734312 1.16129032258065 1.11964171465131 1.24716553287982 0.920988851187591 1.67364016736402 1.26336248785228 1.78571428571429 1.6803102111159 1.6008004002001 2.21426245522631 1.81470869149952 0.867888138862102 1.01132686084142 1.24618514750763 1.22029543994862 2.06696276050564 2.00095283468318 1.27055306427504 1.24440019910403 2.61127596439169 1.36425648021828 1.02409638554217 1.68745414526779 1.97509660798626 1.02377807133421 1.52424942263279 1.71595472800292 1.67214093759331 1.06544901065449 2.0655737704918 1.1781206171108 1.14244912531239 1.44927536231884 0.959890298251628 1.3986013986014 1.47839272175891 1.29963898916968 1.42857142857143 1.61213845424372
"it" 1.23152709359606 0.831024930747922 1.19102153000458 0.609137055837564 0.966494845360825 1.79176755447942 1.00439422473321 0.844510680576254 1.28671328671329 1.25614418350628 1.13692535837865 1.29160457029309 1.78794178794179 1.41509433962264 1.10429447852761 1.86583740559751 1.45948666331152 1.53671030165054 1.58940397350993 2.27936879018118 1.02770330652368 1.14335971855761 1.2676566461427 1.70366546205472 0.537897310513447 1.84534270650264 1.61394448030988 1.61844041196665 1.52638464893153 1.20048019207683 1.31233595800525 1.00133511348465 0.731182795698925 1.21561100447857 1.70068027210884 1.06640814348037 1.79916317991632 1.36054421768707 1.37755102040816 1.2494614390349 1.45072536268134 1.75838489091501 1.24164278892073 0.964320154291225 1.25404530744337 1.65310274669379 0.834938985228003 1.74239836009566 1.52453549309195 1.49476831091181 1.19462419113987 2.25519287833828 1.4324693042292 1.68674698795181 1.54071900220103 1.2881064834693 1.55217965653897 1.43187066974596 1.350857977364 1.46312332039415 1.67427701674277 1.14754098360656 1.4586255259467 1.03534451981435 1.65217391304348 0.651354130956462 0.885780885780886 1.21304018195603 0.794223826714801 1.26984126984127 1.13798008534851
"is" 0.800492610837438 0.35615354174911 1.00778744846541 0.913705583756345 1.54639175257732 0.677966101694915 0.69052102950408 1.34128166915052 1.34265734265734 1.25614418350628 0.494315373208107 0.844510680576254 1.03950103950104 0.943396226415094 0.858895705521472 1.3771657041315 0.754906894816306 1.30904951622083 1.05960264900662 1.51957919345412 0.714924039320822 1.80299032541777 1.2676566461427 0.877645844088797 0.39119804400978 1.23022847100176 0.645577792123951 0.833742030407062 1.2647187091147 1.08043217286915 1.24671916010499 1.76902536715621 0.602150537634409 1.56749840051184 0.793650793650794 1.16335433834222 1.21338912133891 1.0689990281827 0.86734693877551 0.947867298578199 1.05052526263132 1.59557147508955 1.05062082139446 1.01253616200579 0.93042071197411 1.55137334689725 1.02761721258831 1.98155107618722 1.6198189614102 1.42002989536622 0.79641612742658 0.949554896142433 0.477489768076398 0.602409638554217 0.513573000733676 0.72992700729927 1.38705416116248 1.15473441108545 1.09529025191676 1.70200059719319 2.1689497716895 0.950819672131147 1.06591865357644 1.39235987147447 0.985507246376812 0.959890298251628 1.07226107226107 0.265352539802881 1.55234657039711 1.53439153439153 0.806069227121859
