"baum" "evans" "thompson"
"the" 6.96458673447915 5.00193106566565 6.25249215869244
"and" 3.82663515276636 2.4529243870044 3.66146927399563
"to" 2.811884609506 3.18861330645541 2.33327715271126
"of" 2.26629836457034 2.36626192786292 2.18364486173401
"a" 2.06294953271856 1.92729773264631 2.21447569091888
"in" 1.34879197946133 1.25754764080295 1.29695021437703
"you" 1.08585618054186 1.96215111295321 1.12635295955406
"i" 1.26240195285763 1.58818376209271 0.89779374586353
"he" 1.05484437612002 0.750760651475617 1.03797124922409
"that" 1.07544507477168 1.50528923595738 0.657313278221513
"was" 1.10911503385824 0.760180483990995 0.746517143996415
"it" 1.01895928814618 1.07762883975923 0.743228522216696
"his" 0.714379066145964 0.364547518345124 1.39396455687877
"as" 0.71127788570378 0.84307501012632 0.822977600374903
"with" 0.669190436845568 0.642432577548771 0.813111735035743
"but" 0.782162010096558 0.670692075094905 0.585785754512606
"for" 0.700645267044863 0.810105596322497 0.673345309397648
"they" 0.812066250074761 0.914665737243192 0.323929245302409
"is" 0.647703686639007 1.11907610282689 0.431220530865771
"her" 0.664981691959747 0.493599223805801 0.607161796080785
"had" 0.654570586189557 0.340997937056679 0.650736034662074
"all" 0.608717418222979 0.697067606137963 0.524946251587788
"said" 0.690012648385946 1.02299381117004 0.16566432215339
"so" 0.672734643065207 0.443674111474298 0.395456769011317
"at" 0.54403565471457 0.364547518345124 0.61661658369748
"she" 0.616027343550985 0.539756403131152 0.359281929434398
"not" 0.546693809379299 0.670692075094905 0.409844489297591
"be" 0.524985546284011 0.847784926384009 0.357637618544538
"on" 0.379008552612634 0.477585508529658 0.722263558370981
"this" 0.48023994276107 0.608521180493411 0.468628603610085
"we" 0.451664780115231 0.746992718469466 0.406555867517872
"are" 0.403374970372651 0.84307501012632 0.28939871661535
"have" 0.352205493076615 0.743224785463314 0.351060374985098
"my" 0.442804264566134 0.405052798161249 0.328040022527059
"them" 0.478024813873795 0.360779585338973 0.249935255258712
"were" 0.46207588588542 0.308028523252857 0.231847835470252
"from" 0.353756083297707 0.284478941964412 0.393401380398992
"dorothy" 0.376128885059177 0.584029615953428 0.201428084007843
"one" 0.382331245943545 0.363605535093586 0.282821473055911
