"baum-rbo_1" "baum-rbo_2" "baum-rbo_3" "baum-rbo_4" "baum-rbo_5" "baum-rbo_6" "baum-rbo_7" "baum-rbo_8" "baum-rbo_9" "baum-rbo_10" "baum-rbo_11" "baum-rbo_12" "baum-rbo_13" "baum-rbo_14" "baum-rbo_15" "baum-rbo_16" "baum-rbo_17" "baum-rbo_18" "baum-rbo_19" "baum-rbo_20" "baum-rbo_21" "baum-rbo_22" "baum-rbo_23" "baum-rbo_24" "baum-rbo_25" "baum-rbo_26" "baum-rbo_27" "baum-rbo_28" "baum-rbo_29" "baum-rbo_30" "baum-rbo_31" "baum-rbo_32" "baum-rbo_33" "baum-rbo_34" "baum-rbo_35" "baum-rbo_36" "baum-rbo_37" "baum-rbo_38" "baum-rbo_39" "baum-rbo_40" "baum-rbo_41" "baum-rbo_42" "baum-rbo_43" "baum-rbo_44" "baum-rbo_45" "baum-rbo_46" "baum-rbo_47" "baum-rbo_48" "baum-rbo_49" "baum-rbo_50" "baum-rbo_51" "baum-rbo_52" "baum-rbo_53" "baum-rbo_54" "baum-rbo_55" "baum-rbo_56" "baum-rbo_57" "baum-rbo_58" "baum-rbo_59" "baum-rbo_60" "baum-rbo_61" "baum-rbo_62" "baum-rbo_63" "baum-rbo_64" "baum-rbo_65" "baum-rbo_66" "baum-rbo_67" "baum-rbo_68" "baum-rbo_69" "baum-rbo_70" "baum-rbo_71" "baum-rbo_72" "baum-rbo_73" "baum-rbo_74" "baum-rbo_75"
"the" 7.5 7.34 7.26 7.38 7.3 7.52 7.44 7.4 7.18 6.9 6.8 6.72 6.38 6.18 6.24 6.28 6.7 7 7.3 7.56 7.74 7.98 8.3 8.34 8.62 8.32 8.4 8.4 8.44 8.26 8.22 8.08 7.92 7.86 7.62 7.7 7.42 7.3 7.02 6.82 6.72 6.48 6.58 6.58 6.52 6.5 6.56 6.48 6.58 7.06 7.02 7.08 7.08 7.12 7.42 7.32 7.32 7.2 6.9 6.54 6.56 7.06 7.32 7.62 7.7 8.12 8.02 8.44 9 9.18 9.36 9.1 8.9 8.68 8.52
"and" 3.44 3.34 3.12 3.18 3.34 3.3 3.42 3.32 3.4 3.32 3.38 3.28 3.2 3.08 3.16 3.28 3.24 3.32 3.3 3.36 3.32 3.36 3.5 3.56 3.58 3.54 3.42 3.42 3.52 3.48 3.56 3.76 3.66 3.64 3.44 3.38 3.38 3.4 3.28 3.4 3.36 3.08 3.04 2.86 2.88 2.98 2.96 2.82 2.62 2.58 2.48 2.62 2.76 2.92 2.9 2.74 2.82 3.06 3.2 3 2.98 2.94 2.9 2.72 2.8 2.82 2.84 2.76 2.76 2.96 3.04 2.92 2.9 3.24 3.38
"to" 2.14 2.04 2.1 2.12 2.2 2.16 2.26 2.32 2.32 2.26 2.24 2.38 2.28 2.28 2.22 2.16 2.1 2.06 2.02 1.98 2 1.98 2.12 1.98 2.06 2.08 2 1.96 1.88 2.06 2.02 2.08 1.82 1.94 1.92 1.94 1.88 1.86 1.84 1.66 1.86 1.84 2.02 2 1.94 1.94 1.9 1.98 1.98 2.12 2.08 2.08 2.02 2.04 2.06 2.14 2.14 2 2.12 2.12 2 1.92 1.96 1.9 2 1.98 1.98 2.18 2.08 2.12 2.08 2.12 2.14 2.26 2.14
"of" 2.38 2.22 2.14 2.34 2.24 2.22 2.28 2.2 2.16 2.24 2.18 2.02 1.9 1.86 1.94 1.92 1.92 2.04 2.22 2.26 2.36 2.4 2.3 2.24 2.14 2.08 2.04 1.96 1.76 1.68 1.74 1.82 1.9 1.86 1.88 1.92 1.88 1.84 1.98 1.98 1.78 1.66 1.7 1.7 1.76 1.7 1.72 1.74 1.62 1.72 1.84 1.92 1.8 1.84 1.7 1.62 1.7 1.68 1.74 1.64 1.58 1.72 1.82 1.8 1.8 1.98 1.9 1.96 2.08 1.94 2.04 1.82 1.78 1.84 2.06
"a" 2.84 2.94 3.12 3.12 3.04 2.94 2.94 2.72 2.6 2.5 2.44 2.46 2.4 2.34 2.4 2.36 2.28 2.2 2.28 2.46 2.28 2.2 2.24 2.42 2.32 2.38 2.34 2.34 2.34 2.2 2.14 2.22 2.24 2.16 2.16 2.14 2.24 2.3 2.26 2.26 2.34 2.36 2.46 2.5 2.42 2.36 2.36 2.34 2.28 2.34 2.32 2.4 2.14 2.08 2.18 2.14 2.16 2.18 2.18 2.14 2.12 1.98 1.9 1.88 1.84 1.88 1.74 1.76 1.66 1.72 1.72 1.66 1.6 1.6 1.6
"in" 1.42 1.46 1.4 1.44 1.44 1.46 1.42 1.5 1.54 1.52 1.5 1.5 1.48 1.42 1.38 1.36 1.4 1.34 1.46 1.44 1.46 1.46 1.46 1.5 1.52 1.42 1.32 1.36 1.32 1.3 1.4 1.38 1.36 1.36 1.34 1.4 1.48 1.38 1.28 1.26 1.14 1.16 1.18 1.18 1.22 1.18 1.2 1.28 1.4 1.42 1.46 1.46 1.48 1.46 1.48 1.54 1.48 1.54 1.56 1.54 1.46 1.46 1.5 1.42 1.34 1.32 1.26 1.28 1.28 1.26 1.34 1.38 1.32 1.38 1.36
"you" 0.84 0.84 0.84 0.8 0.74 0.72 0.74 0.66 0.56 0.44 0.48 0.48 0.6 0.72 0.62 0.56 0.66 0.64 0.78 0.8 0.9 0.86 0.82 0.9 0.9 1.06 1.1 1.14 1 1.08 0.98 0.92 0.92 0.8 0.94 0.8 0.64 0.6 0.68 0.8 0.8 0.96 1.08 1.08 1.12 1.2 1.28 1.3 1.32 1.14 1.1 1.02 0.94 1.04 0.88 0.88 0.82 0.94 1 1.04 1.2 1.24 1.18 1.14 1.16 1.18 1.42 1.32 1.16 1.1 1 0.96 0.94 0.9 0.86
"i" 1.16 1.12 1.14 1.06 1.02 0.98 0.94 0.9 0.8 0.84 0.72 0.76 1.1 1.14 1.06 1 1 1.12 1.26 1.26 1.32 1.28 1.02 1.08 1.18 1.2 1.16 0.98 0.8 0.9 0.86 0.92 0.9 0.72 0.6 0.68 0.78 0.76 0.78 0.7 0.74 0.8 0.76 0.8 0.9 0.86 0.76 0.92 0.94 1.04 1.02 0.98 1.18 1.22 1.2 1.36 1.52 1.48 1.68 1.62 1.64 1.7 1.64 1.64 1.58 1.52 1.46 1.4 1.2 1.26 1.22 1.14 0.94 0.92 0.94
"he" 2.02 2.12 2.48 2.5 2.52 2.52 2.3 2.2 1.92 1.62 1.42 1.38 1 1.04 0.86 1 0.86 1 1.02 1.24 1.34 1.38 1.38 1.3 1.36 1.36 1.4 1.42 1.5 1.4 1.36 1.2 1.16 1.24 1.2 1.22 1.24 1.08 1.02 0.98 0.9 0.94 0.9 0.92 1.04 1.18 1.24 1.42 1.62 1.6 1.76 1.82 1.86 1.7 1.58 1.26 1.18 1.18 1 1.1 0.94 0.88 0.9 1 1.08 1.08 1.06 0.88 0.84 0.7 0.78 0.8 0.76 0.64 0.68
"that" 0.86 0.76 0.8 0.76 0.82 0.9 0.92 0.94 0.94 0.9 0.9 0.84 0.86 0.84 0.88 0.8 0.8 0.8 0.76 0.68 0.62 0.64 0.56 0.62 0.56 0.6 0.58 0.54 0.52 0.66 0.7 0.68 0.76 0.8 0.84 0.78 0.74 0.72 0.72 0.62 0.6 0.64 0.58 0.62 0.6 0.64 0.7 0.86 0.86 0.92 0.9 0.88 0.94 0.86 0.84 0.76 0.7 0.58 0.64 0.62 0.62 0.64 0.54 0.52 0.48 0.54 0.54 0.52 0.46 0.38 0.4 0.38 0.38 0.48 0.54
"was" 1.36 1.3 1.26 1.3 1.3 1.26 1.22 1.1 1.2 1.22 1.06 1.12 1.06 1.06 1.08 1.14 1.08 1.04 0.9 0.8 0.86 1.02 1 1.04 0.98 0.92 0.92 0.92 0.96 0.98 0.94 0.82 0.88 0.88 0.88 0.92 0.9 0.86 0.78 0.78 0.74 0.74 0.74 0.7 0.7 0.66 0.64 0.68 0.76 0.72 0.78 0.7 0.66 0.64 0.68 0.7 0.74 0.68 0.66 0.78 0.74 0.78 0.76 0.8 0.88 0.88 0.84 0.88 0.92 0.86 0.86 0.88 0.94 0.9 0.8
"it" 0.72 0.68 0.74 0.66 0.68 0.76 0.76 0.8 0.76 0.84 0.8 0.8 0.8 0.84 0.86 0.84 0.98 0.86 0.84 0.76 0.76 0.78 0.88 0.86 0.9 0.88 0.74 0.7 0.68 0.66 0.64 0.66 0.66 0.64 0.56 0.58 0.54 0.54 0.62 0.68 0.82 0.76 0.68 0.7 0.76 0.72 0.72 0.8 0.74 0.72 0.58 0.64 0.78 0.8 0.86 0.98 0.96 0.88 0.92 0.98 1.14 1.16 0.94 0.96 0.9 0.88 0.96 1.04 1.04 1.02 0.96 1.04 1.1 1.08 1
"his" 1.66 1.78 1.62 1.68 1.68 1.68 1.46 1.54 1.42 1.24 1.1 1.16 1.18 1.14 1.04 1.12 1.18 1.14 1.18 1.3 1.52 1.46 1.48 1.48 1.6 1.58 1.58 1.66 1.7 1.68 1.66 1.6 1.6 1.78 1.72 1.6 1.52 1.36 1.38 1.32 1.16 1.2 1.18 1.02 1.04 1.12 1.24 1.44 1.56 1.62 1.7 1.68 1.76 1.66 1.72 1.58 1.5 1.48 1.34 1.34 1.32 1.26 1.16 1.24 1.2 1.22 1.28 1.12 1.14 1.14 1.16 1.16 1.2 1.18 1.26
"as" 0.52 0.58 0.54 0.54 0.52 0.48 0.46 0.46 0.52 0.6 0.6 0.58 0.54 0.58 0.62 0.54 0.54 0.56 0.52 0.42 0.4 0.42 0.5 0.46 0.46 0.48 0.46 0.48 0.56 0.64 0.66 0.64 0.6 0.76 0.7 0.76 0.8 0.88 0.78 0.72 0.72 0.7 0.78 0.72 0.72 0.66 0.7 0.66 0.66 0.7 0.66 0.66 0.6 0.54 0.56 0.58 0.56 0.48 0.5 0.5 0.54 0.56 0.62 0.58 0.68 0.74 0.72 0.74 0.72 0.7 0.64 0.64 0.6 0.68 0.58
"with" 0.66 0.74 0.72 0.68 0.72 0.84 0.84 0.78 0.82 0.82 1 0.98 1.08 1.04 0.98 0.94 0.92 1 0.98 1 0.86 0.8 0.84 0.88 0.9 0.86 0.84 0.8 0.86 0.84 0.8 0.8 0.72 0.7 0.68 0.6 0.64 0.6 0.66 0.66 0.68 0.66 0.68 0.64 0.6 0.62 0.62 0.6 0.46 0.44 0.4 0.4 0.38 0.4 0.42 0.44 0.44 0.58 0.54 0.52 0.58 0.62 0.58 0.62 0.76 0.8 0.8 0.84 1.02 1.06 1.04 1.04 1.08 1.04 0.96
"but" 0.58 0.56 0.56 0.6 0.56 0.52 0.5 0.58 0.6 0.68 0.68 0.74 0.76 0.78 0.8 0.78 0.74 0.68 0.64 0.62 0.62 0.6 0.62 0.54 0.54 0.54 0.6 0.6 0.58 0.56 0.54 0.52 0.54 0.56 0.52 0.58 0.58 0.6 0.64 0.66 0.68 0.66 0.6 0.6 0.62 0.58 0.52 0.5 0.54 0.5 0.54 0.6 0.58 0.54 0.52 0.48 0.58 0.56 0.58 0.66 0.64 0.6 0.62 0.72 0.74 0.76 0.72 0.7 0.66 0.62 0.66 0.74 0.76 0.66 0.62
"for" 0.68 0.7 0.64 0.64 0.64 0.7 0.62 0.64 0.66 0.68 0.68 0.64 0.7 0.8 0.82 0.76 0.74 0.7 0.66 0.7 0.58 0.6 0.54 0.46 0.42 0.42 0.48 0.6 0.66 0.62 0.68 0.7 0.78 0.76 0.8 0.82 0.82 0.74 0.68 0.7 0.68 0.66 0.6 0.64 0.64 0.62 0.58 0.64 0.64 0.62 0.72 0.74 0.74 0.72 0.66 0.72 0.7 0.66 0.7 0.74 0.7 0.68 0.72 0.78 0.8 0.78 0.8 0.88 0.82 0.78 0.68 0.62 0.6 0.56 0.62
"they" 0.22 0.26 0.3 0.34 0.34 0.38 0.48 0.56 0.76 0.92 1.04 1 0.94 0.92 0.98 0.96 0.92 0.9 0.68 0.52 0.4 0.34 0.34 0.32 0.3 0.28 0.24 0.28 0.38 0.44 0.42 0.6 0.64 0.64 0.6 0.72 0.84 0.9 0.84 0.84 0.88 0.72 0.78 0.82 0.76 0.64 0.6 0.46 0.58 0.52 0.5 0.56 0.48 0.44 0.5 0.5 0.44 0.42 0.3 0.3 0.3 0.26 0.32 0.36 0.3 0.36 0.34 0.4 0.44 0.48 0.48 0.56 0.62 0.62 0.76
"is" 0.76 0.72 0.6 0.54 0.52 0.54 0.54 0.5 0.4 0.4 0.4 0.32 0.34 0.32 0.3 0.24 0.28 0.28 0.3 0.32 0.32 0.4 0.44 0.48 0.42 0.5 0.46 0.52 0.52 0.52 0.52 0.48 0.52 0.52 0.56 0.56 0.54 0.46 0.48 0.46 0.46 0.46 0.4 0.4 0.44 0.42 0.44 0.48 0.46 0.48 0.52 0.52 0.48 0.48 0.44 0.42 0.38 0.44 0.46 0.5 0.46 0.44 0.46 0.46 0.44 0.42 0.38 0.34 0.3 0.24 0.24 0.22 0.22 0.2 0.16
"her" 0.22 0.2 0.2 0.18 0.26 0.34 0.34 0.42 0.52 0.6 0.7 0.74 0.78 0.78 0.68 0.62 0.66 0.58 0.5 0.46 0.38 0.34 0.3 0.46 0.42 0.34 0.28 0.28 0.26 0.22 0.2 0.22 0.22 0.12 0.14 0.14 0.2 0.22 0.22 0.24 0.3 0.4 0.44 0.5 0.52 0.52 0.46 0.46 0.46 0.44 0.38 0.28 0.28 0.14 0.14 0.28 0.32 0.32 0.38 0.4 0.4 0.44 0.4 0.38 0.4 0.36 0.32 0.32 0.28 0.28 0.28 0.24 0.32 0.38 0.36
"had" 0.92 1.04 1.16 1.14 1.1 1.04 0.92 0.98 1 0.84 0.84 0.76 0.72 0.68 0.68 0.78 0.8 0.76 0.7 0.74 0.78 0.82 0.78 0.78 0.72 0.66 0.56 0.62 0.64 0.64 0.62 0.6 0.68 0.68 0.8 0.86 0.88 0.92 0.88 0.9 0.9 0.88 0.76 0.86 0.74 0.74 0.76 0.72 0.8 0.72 0.7 0.8 0.78 0.68 0.72 0.7 0.7 0.64 0.64 0.7 0.7 0.64 0.66 0.66 0.7 0.74 0.72 0.7 0.66 0.6 0.66 0.68 0.76 0.84 0.84
"all" 0.48 0.42 0.44 0.42 0.46 0.42 0.42 0.44 0.4 0.36 0.4 0.4 0.38 0.38 0.36 0.36 0.4 0.36 0.34 0.36 0.28 0.28 0.28 0.26 0.24 0.22 0.2 0.18 0.24 0.28 0.38 0.38 0.36 0.36 0.36 0.42 0.42 0.48 0.52 0.52 0.46 0.48 0.48 0.5 0.48 0.42 0.44 0.42 0.34 0.3 0.28 0.28 0.3 0.28 0.3 0.4 0.4 0.44 0.44 0.46 0.5 0.5 0.52 0.5 0.54 0.54 0.6 0.6 0.64 0.64 0.64 0.6 0.72 0.84 0.84
"said" 0.38 0.38 0.36 0.22 0.18 0.16 0.16 0.16 0.16 0.14 0.16 0.24 0.28 0.32 0.28 0.28 0.36 0.4 0.4 0.4 0.4 0.36 0.36 0.4 0.42 0.44 0.4 0.4 0.42 0.44 0.48 0.52 0.56 0.5 0.52 0.52 0.48 0.48 0.56 0.64 0.7 0.72 0.8 0.78 0.94 0.96 1.02 1.08 0.96 0.88 0.78 0.76 0.7 0.76 0.64 0.64 0.6 0.58 0.62 0.72 0.82 0.84 0.78 0.74 0.66 0.64 0.68 0.66 0.62 0.58 0.44 0.38 0.4 0.42 0.44
"so" 0.42 0.48 0.5 0.48 0.56 0.64 0.66 0.62 0.66 0.64 0.68 0.64 0.62 0.58 0.58 0.5 0.48 0.52 0.42 0.36 0.28 0.26 0.26 0.26 0.18 0.2 0.18 0.12 0.16 0.18 0.18 0.18 0.16 0.16 0.2 0.22 0.24 0.28 0.26 0.26 0.32 0.32 0.3 0.32 0.3 0.3 0.32 0.38 0.4 0.38 0.32 0.32 0.38 0.38 0.38 0.34 0.32 0.2 0.18 0.2 0.2 0.24 0.22 0.22 0.24 0.3 0.3 0.32 0.34 0.32 0.34 0.36 0.38 0.44 0.42
"at" 0.62 0.66 0.66 0.62 0.54 0.54 0.58 0.56 0.56 0.72 0.64 0.72 0.68 0.68 0.76 0.78 0.76 0.7 0.68 0.58 0.6 0.54 0.62 0.58 0.56 0.52 0.52 0.6 0.66 0.68 0.64 0.68 0.64 0.76 0.76 0.8 0.82 0.88 0.94 0.92 0.94 0.88 1.04 0.94 0.98 0.94 0.96 0.84 0.78 0.8 0.78 0.74 0.6 0.56 0.52 0.54 0.58 0.6 0.58 0.54 0.6 0.68 0.68 0.72 0.74 0.76 0.7 0.66 0.66 0.76 0.72 0.68 0.72 0.74 0.74
"she" 0.1 0.08 0.08 0.04 0.1 0.18 0.2 0.34 0.44 0.52 0.58 0.68 0.72 0.76 0.86 0.78 0.84 0.7 0.6 0.58 0.52 0.42 0.38 0.38 0.22 0.2 0.12 0.12 0.12 0.06 0.06 0.08 0.08 0.16 0.24 0.24 0.26 0.26 0.26 0.28 0.32 0.32 0.36 0.3 0.28 0.28 0.26 0.26 0.26 0.24 0.22 0.2 0.18 0.12 0.08 0.12 0.24 0.24 0.26 0.26 0.28 0.3 0.3 0.28 0.3 0.3 0.18 0.2 0.2 0.2 0.18 0.16 0.16 0.22 0.18
"not" 0.36 0.4 0.38 0.48 0.5 0.48 0.4 0.34 0.34 0.36 0.4 0.4 0.42 0.36 0.36 0.4 0.42 0.4 0.4 0.42 0.42 0.48 0.46 0.48 0.42 0.42 0.5 0.58 0.6 0.6 0.56 0.48 0.54 0.52 0.54 0.52 0.44 0.34 0.3 0.26 0.26 0.26 0.18 0.14 0.14 0.18 0.32 0.36 0.4 0.4 0.4 0.4 0.44 0.46 0.44 0.42 0.28 0.24 0.22 0.28 0.3 0.28 0.26 0.34 0.36 0.32 0.36 0.38 0.38 0.32 0.28 0.32 0.38 0.28 0.28
"be" 0.26 0.3 0.3 0.28 0.34 0.32 0.32 0.26 0.3 0.32 0.3 0.24 0.24 0.34 0.32 0.3 0.3 0.34 0.32 0.32 0.38 0.38 0.38 0.28 0.28 0.3 0.28 0.28 0.3 0.3 0.24 0.28 0.26 0.3 0.28 0.28 0.34 0.36 0.32 0.28 0.34 0.34 0.36 0.34 0.4 0.4 0.34 0.32 0.34 0.46 0.56 0.54 0.52 0.58 0.5 0.52 0.54 0.54 0.64 0.58 0.46 0.46 0.48 0.42 0.54 0.5 0.5 0.46 0.38 0.34 0.32 0.32 0.32 0.32 0.2
"on" 0.46 0.46 0.56 0.5 0.52 0.46 0.48 0.5 0.56 0.5 0.52 0.54 0.5 0.52 0.54 0.6 0.52 0.52 0.5 0.6 0.6 0.6 0.58 0.56 0.62 0.64 0.72 0.7 0.68 0.56 0.6 0.56 0.64 0.68 0.64 0.6 0.58 0.56 0.56 0.62 0.56 0.6 0.54 0.56 0.56 0.56 0.7 0.68 0.64 0.64 0.64 0.7 0.7 0.7 0.68 0.68 0.52 0.66 0.74 0.72 0.74 0.66 0.58 0.54 0.56 0.52 0.52 0.36 0.34 0.38 0.36 0.34 0.4 0.36 0.36
"this" 0.28 0.24 0.22 0.22 0.2 0.18 0.18 0.16 0.16 0.2 0.2 0.22 0.3 0.34 0.36 0.36 0.44 0.46 0.52 0.5 0.48 0.48 0.44 0.44 0.44 0.46 0.4 0.38 0.32 0.36 0.4 0.38 0.36 0.36 0.42 0.42 0.5 0.52 0.56 0.56 0.54 0.58 0.56 0.58 0.5 0.52 0.44 0.4 0.36 0.32 0.32 0.3 0.32 0.3 0.34 0.32 0.34 0.36 0.36 0.34 0.36 0.32 0.34 0.36 0.34 0.34 0.34 0.36 0.34 0.36 0.32 0.38 0.34 0.34 0.32
"we" 0.18 0.14 0.14 0.1 0.1 0.12 0.18 0.18 0.28 0.26 0.32 0.3 0.3 0.4 0.4 0.4 0.38 0.36 0.26 0.28 0.22 0.22 0.22 0.12 0.14 0.12 0.1 0.06 0.14 0.16 0.16 0.16 0.16 0.16 0.28 0.32 0.32 0.38 0.32 0.32 0.34 0.38 0.4 0.42 0.28 0.28 0.3 0.28 0.26 0.22 0.24 0.2 0.22 0.28 0.3 0.28 0.26 0.34 0.38 0.42 0.42 0.48 0.46 0.42 0.4 0.38 0.36 0.24 0.26 0.24 0.22 0.24 0.22 0.18 0.2
"are" 0.26 0.28 0.28 0.28 0.22 0.2 0.18 0.16 0.2 0.18 0.2 0.2 0.22 0.24 0.22 0.22 0.22 0.28 0.3 0.28 0.28 0.28 0.3 0.28 0.3 0.3 0.42 0.32 0.26 0.32 0.28 0.34 0.32 0.32 0.3 0.32 0.2 0.22 0.2 0.2 0.2 0.12 0.1 0.14 0.16 0.14 0.16 0.14 0.2 0.16 0.18 0.2 0.22 0.2 0.18 0.24 0.28 0.4 0.42 0.42 0.44 0.42 0.44 0.46 0.46 0.42 0.36 0.24 0.18 0.16 0.16 0.16 0.12 0.1 0.1
"have" 0.26 0.24 0.26 0.28 0.24 0.26 0.34 0.36 0.28 0.28 0.28 0.28 0.38 0.36 0.34 0.34 0.26 0.24 0.36 0.38 0.38 0.38 0.28 0.28 0.28 0.32 0.32 0.28 0.22 0.26 0.32 0.34 0.32 0.34 0.38 0.32 0.32 0.34 0.34 0.3 0.24 0.28 0.36 0.34 0.34 0.4 0.4 0.44 0.4 0.46 0.46 0.42 0.38 0.42 0.42 0.38 0.4 0.36 0.4 0.38 0.46 0.44 0.5 0.56 0.54 0.52 0.54 0.52 0.46 0.46 0.36 0.4 0.3 0.24 0.22
"my" 0.32 0.34 0.36 0.34 0.28 0.24 0.22 0.22 0.22 0.22 0.2 0.2 0.28 0.36 0.36 0.38 0.36 0.32 0.32 0.32 0.34 0.42 0.38 0.38 0.42 0.48 0.52 0.52 0.5 0.48 0.5 0.42 0.42 0.4 0.4 0.36 0.34 0.32 0.36 0.38 0.34 0.4 0.34 0.28 0.3 0.3 0.32 0.36 0.36 0.36 0.48 0.4 0.4 0.52 0.52 0.48 0.46 0.5 0.56 0.58 0.5 0.5 0.58 0.54 0.52 0.58 0.64 0.56 0.5 0.46 0.46 0.52 0.42 0.4 0.36
"them" 0.1 0.1 0.1 0.1 0.14 0.16 0.18 0.16 0.2 0.3 0.38 0.42 0.44 0.42 0.4 0.4 0.38 0.4 0.36 0.26 0.26 0.22 0.2 0.2 0.16 0.16 0.18 0.2 0.28 0.26 0.18 0.18 0.18 0.18 0.26 0.28 0.3 0.32 0.28 0.3 0.32 0.32 0.34 0.36 0.28 0.26 0.28 0.24 0.2 0.18 0.18 0.28 0.32 0.32 0.32 0.32 0.26 0.26 0.3 0.3 0.28 0.24 0.2 0.18 0.18 0.18 0.2 0.22 0.24 0.26 0.28 0.2 0.22 0.28 0.3
"were" 0.34 0.42 0.48 0.48 0.38 0.36 0.3 0.28 0.34 0.52 0.58 0.54 0.5 0.5 0.56 0.54 0.54 0.6 0.52 0.34 0.3 0.34 0.38 0.42 0.42 0.42 0.42 0.4 0.56 0.58 0.62 0.6 0.56 0.56 0.54 0.56 0.66 0.68 0.54 0.56 0.56 0.52 0.5 0.44 0.36 0.36 0.32 0.26 0.28 0.26 0.18 0.18 0.22 0.24 0.26 0.32 0.28 0.28 0.32 0.36 0.42 0.4 0.38 0.36 0.36 0.3 0.28 0.32 0.26 0.2 0.14 0.22 0.24 0.28 0.36
