,Source,Target,Weight,Type
1,baum-dwo,baum-eco,2,undirected
2,baum-dwo,baum-lpo,6,undirected
3,baum-dwo,baum-so,3,undirected
4,baum-dwo,baum-tto,3,undirected
5,baum-dwo,evans-fmo,1,undirected
6,baum-eco,baum-dwo,2,undirected
7,baum-eco,baum-mo,1,undirected
8,baum-eco,baum-ro,1,undirected
9,baum-eco,baum-so,1,undirected
10,baum-eco,baum-tto,3,undirected
11,baum-eco,evans-dmao,1,undirected
12,baum-go,baum-lpo,3,undirected
13,baum-go,baum-mo,2,undirected
14,baum-go,baum-oo,1,undirected
15,baum-go,evans-dmao,2,undirected
16,baum-lpo,baum-dwo,6,undirected
17,baum-lpo,baum-go,3,undirected
18,baum-lpo,baum-mo,5,undirected
19,baum-lpo,baum-tto,1,undirected
20,baum-lpo,evans-fmo,2,undirected
21,baum-lwso,baum-oo,2,undirected
22,baum-lwso,baum-ro,1,undirected
23,baum-lwso,baum-tto,3,undirected
24,baum-mlo,baum-oo,3,undirected
25,baum-mlo,baum-tto,2,undirected
26,baum-mlo,baum-two,1,undirected
27,baum-mo,baum-eco,1,undirected
28,baum-mo,baum-go,2,undirected
29,baum-mo,baum-lpo,5,undirected
30,baum-mo,baum-tto,2,undirected
31,baum-oo,baum-go,1,undirected
32,baum-oo,baum-lwso,2,undirected
33,baum-oo,baum-mlo,3,undirected
34,baum-oo,baum-so,1,undirected
35,baum-oo,baum-tto,5,undirected
36,baum-oo,baum-two,3,undirected
37,baum-oo,baum-wwo,2,undirected
38,baum-rbo,thompson-ko,6,undirected
39,baum-rbo,thompson-owo,2,undirected
40,baum-rbo,thompson-spo,1,undirected
41,baum-ro,baum-eco,1,undirected
42,baum-ro,baum-lwso,1,undirected
43,baum-ro,baum-so,3,undirected
44,baum-ro,baum-tto,2,undirected
45,baum-so,baum-dwo,3,undirected
46,baum-so,baum-eco,1,undirected
47,baum-so,baum-oo,1,undirected
48,baum-so,baum-ro,3,undirected
49,baum-so,baum-tto,6,undirected
50,baum-so,baum-two,4,undirected
51,baum-so,baum-wwo,1,undirected
52,baum-tto,baum-dwo,3,undirected
53,baum-tto,baum-eco,3,undirected
54,baum-tto,baum-lpo,1,undirected
55,baum-tto,baum-lwso,3,undirected
56,baum-tto,baum-mlo,2,undirected
57,baum-tto,baum-mo,2,undirected
58,baum-tto,baum-oo,5,undirected
59,baum-tto,baum-ro,2,undirected
60,baum-tto,baum-so,6,undirected
61,baum-tto,baum-two,2,undirected
62,baum-two,baum-mlo,1,undirected
63,baum-two,baum-oo,3,undirected
64,baum-two,baum-so,4,undirected
65,baum-two,baum-tto,2,undirected
66,baum-two,baum-wwo,3,undirected
67,baum-two,evans-fmo,3,undirected
68,baum-wwo,baum-oo,2,undirected
69,baum-wwo,baum-so,1,undirected
70,baum-wwo,baum-two,3,undirected
71,evans-dmao,baum-eco,1,undirected
72,evans-dmao,baum-go,2,undirected
73,evans-dmao,evans-fmo,3,undirected
74,evans-fmo,baum-dwo,1,undirected
75,evans-fmo,baum-lpo,2,undirected
76,evans-fmo,baum-two,3,undirected
77,evans-fmo,evans-dmao,3,undirected
78,thompson-cso,thompson-owo,3,undirected
79,thompson-cso,thompson-spo,6,undirected
80,thompson-cso,thompson-who,1,undirected
81,thompson-hmo,thompson-ko,1,undirected
82,thompson-hmo,thompson-owo,1,undirected
83,thompson-hmo,thompson-spo,2,undirected
84,thompson-hmo,thompson-who,6,undirected
85,thompson-ko,baum-rbo,6,undirected
86,thompson-ko,thompson-hmo,1,undirected
87,thompson-ko,thompson-owo,2,undirected
88,thompson-owo,baum-rbo,2,undirected
89,thompson-owo,thompson-cso,3,undirected
90,thompson-owo,thompson-hmo,1,undirected
91,thompson-owo,thompson-ko,2,undirected
92,thompson-owo,thompson-spo,4,undirected
93,thompson-owo,thompson-who,3,undirected
94,thompson-spo,baum-rbo,1,undirected
95,thompson-spo,thompson-cso,6,undirected
96,thompson-spo,thompson-hmo,2,undirected
97,thompson-spo,thompson-owo,4,undirected
98,thompson-spo,thompson-who,4,undirected
99,thompson-who,thompson-cso,1,undirected
100,thompson-who,thompson-hmo,6,undirected
101,thompson-who,thompson-owo,3,undirected
102,thompson-who,thompson-spo,4,undirected
