"baum-dwo" "baum-eco" "baum-go" "baum-lpo" "baum-lwso" "baum-mlo" "baum-mo" "baum-oo" "baum-rbo" "baum-ro" "baum-so" "baum-tto" "baum-two" "baum-wwo" "evans-dmao" "evans-fmo" "thompson-cso" "thompson-hmo" "thompson-ko" "thompson-owo" "thompson-spo" "thompson-who"
"the" 7.51949410422214 6.33775095131872 7.35826602182665 6.97689236258602 7.58956772854436 7.81031747910699 7.57315409106989 7.04512220597451 7.47877358490566 6.73198964309286 6.55422108464046 5.98809922896413 6.29032625795126 7.52948368526962 5.069170525353 4.87191532870921 6.44632434913765 6.26657728292868 5.92682511287162 7.56163359064078 5.42054989402781 5.92756203655706
"and" 3.67059718524154 4.13893939677958 3.94500291190844 3.5935774360717 4.16929879974731 3.32157484788939 4.12644665689594 3.95602673908502 3.23349056603774 3.9371477890034 3.61619741418914 3.87822661749916 3.67068694284216 4.23087699635752 2.51243354484651 2.3378561361815 4.30410737316108 3.68124981783206 3.22642473805264 3.13576751515799 3.74822169961966 3.82023484865559
"to" 2.63883605933815 2.8473953549403 3.13726483174233 2.7865092175686 2.6080678639112 2.89306091526788 2.79729115075555 2.80708167954878 2.04481132075472 2.79230339645631 2.80676423617948 2.7468152866242 2.7176762955701 2.82737716192465 3.14983136111587 3.26360295133612 2.37611209478217 2.34340843510449 2.30641451571684 2.5134218328481 2.25009435879569 2.22227230724154
"of" 2.33691517687334 2.15007404352635 2.60552502975211 2.3468694248577 2.20196733146828 2.32723312578423 2.34750088441906 2.41539586379779 1.99292452830189 2.17799664923592 2.12640283520378 2.29425075427422 2.07701602790634 2.12180646475967 2.4609843937575 2.1831044297676 2.27555905305266 2.27345594450436 1.90178039015248 2.20091348593712 2.17460732224255 2.31017151614866
"a" 2.1918980600989 1.91013552777101 1.76486972374851 1.93908758814034 2.52684775742262 2.28225100026042 2.08217516551271 2.01587633173177 2.23584905660377 2.08153525917652 2.12640283520378 2.06377807576265 2.12945441280409 2.04539086578874 1.73355056308238 2.30193163290684 2.4438761011651 2.24722376052931 2.20632081097197 1.92312828868292 2.21525418807885 2.20649552615565
"in" 1.50722708254089 1.35152867077811 1.37239510799382 1.3953784725172 1.36269289775291 1.2737043964109 1.19017536766564 1.34739920618341 1.38443396226415 1.37584403716302 1.43072783356304 1.39959772041569 1.31095962244363 1.21755521027026 1.27193734636712 1.22972338132479 1.30718954248366 1.4981491736862 1.29482920180595 1.09511471994444 1.25134279824638 1.33877256643152
"you" 1.12685431723089 1.15282958741822 1.0204340009622 1.1022852773766 0.938543452756971 1.02985392646606 1.0840450801031 1.23250470022979 0.893867924528302 1.17530588414479 0.910065410951412 1.03922225947033 1.190123344201 1.24557426322627 2.11656091007832 1.66358084394948 0.922464861083787 1.20376577574397 1.30760712156061 0.988274259462058 1.04810846906483 1.26214248687146
"i" 1.11496766831495 1.21656325566574 1.00270934089585 1.17874437176111 0.812201064885841 1.3897109306565 1.04614140597362 1.32128681846668 1.08254716981132 0.890998629232878 1.15289536435431 1.2696949379819 1.84674312031189 1.51812323288927 0.991825301549191 2.74131594218918 0.581458893479354 0.967676119968521 1.24797682937218 0.76658030396111 0.888424353279331 0.917307128851225
"he" 0.920026626093572 0.942883386132304 0.52161142480946 1.19785914535723 1.55220647955961 1.12455313809513 1.22807904179512 0.749425527470232 1.28537735849057 1.20069046047621 1.12664347749995 1.29693261816963 0.870933175258202 1.15387554446114 0.590236094437775 1.06115455826678 0.839399304872451 0.556705237692734 1.30334781497572 1.06039157028767 1.30360305432163 1.10888232775136
"that" 1.06266641308482 0.956005023712674 1.15716709290254 1.18723982669272 0.893421171374425 1.11745069722295 1.04361449436499 1.08888656778776 0.700471698113208 0.751383459410062 1.12445582026208 1.07065035199464 1.10348601263081 0.990855599989811 1.38626879323158 1.7354298504988 0.58801670054867 0.658719286484596 0.713433852968737 0.600977590213414 0.673576633858839 0.703193671256959
"was" 1.09119437048307 0.963503102330028 1.03309447243815 1.11927618723983 1.28147279126433 0.887805109022467 1.06382978723404 1.07321913515772 0.917452830188679 1.11184444331624 1.26446588348538 1.1251257123701 1.24484165887691 1.27359331618228 0.51449151089007 1.23525022798242 0.627363542964566 0.786965519251508 0.941306755260244 0.806645476642004 0.644543158261475 0.660370979738105
"it" 0.984214530239635 0.845408364106698 0.931810700630491 1.1766205080282 0.658785308185182 1.03222140675679 1.16490625157932 1.03666179235429 0.80188679245283 0.918921663197441 1.21196210977664 0.913509889373114 0.987209593944506 1.06981838559311 1.01469159092208 1.19932572470777 0.607690121756618 0.798624267684864 1.07334525939177 0.737199177328454 0.731643585053567 0.504856994748586
"his" 0.644256371243819 0.627964084203423 0.349429012736434 0.751847761447626 0.938543452756971 0.878335187859561 0.669631576287462 0.67631084186338 1.3938679245283 0.878306341067168 0.770055347728118 1.03712705330204 0.738697248124758 0.550192312590744 0.321557194306294 0.447674579268798 1.4755065905961 0.993908303943572 1.43538631910725 1.15120596169769 1.75652527364051 1.49879420315986
"as" 0.641879041460631 0.717941027611675 0.696325931177677 0.647778438535384 0.568540745420088 0.660527001112716 0.634254813766614 0.723313139753499 0.601415094339623 0.921460120830583 0.752554089825206 0.71656050955414 0.845853947698411 0.835477215415574 0.877493854684731 0.776521955398347 0.810982140905415 0.801538954793203 0.696396626629185 0.956222121317343 0.96971808495195 0.759539317992292
"with" 0.727462913655382 0.706693909685643 0.643151950978654 0.5861863902812 0.604638570526126 0.819148180591397 0.558447465507657 0.65280969291832 0.757075471698113 0.837691018936894 0.686924372689287 0.567800871605766 0.722737739677618 0.692834764003158 0.633110387011948 0.660458175587918 0.898419568496295 0.871491445393337 0.698526279921629 0.801303453617885 0.810033969166449 0.813631138858212
"but" 0.820178775199696 0.663579957635856 0.774820854328615 0.770962535043752 0.712932045844238 0.677099363147802 0.755546570980947 0.785982870273658 0.610849056603774 0.698075849114078 0.91444072542714 0.915605095541401 0.779735984131689 0.769250362974095 0.617389813068084 0.773758532069528 0.526810501235054 0.67329272202629 0.594173268591873 0.584951521141056 0.571959469268066 0.581487074308639
"for" 0.651388360593382 0.6317131235121 0.633023573797888 0.68176025826183 0.740005414673766 0.830985582045029 0.603931874463031 0.686755796950073 0.691037735849057 0.571152967456973 0.658484828597055 0.712370097217566 0.78885570324434 0.820194095621386 0.876064711598925 0.682565562218476 0.754147812971342 0.670378034917952 0.632507027855865 0.617003659285771 0.676479981418576 0.680655412562825
"they" 0.941422594142259 1.04598196712093 0.888765097612235 0.821935264633421 0.830249977438859 0.45692369611023 0.616566432506191 0.616252350114895 0.556603773584906 0.809767984972331 0.848811008291221 0.708179684880992 0.720457809899455 1.02651621284292 1.01754987709369 0.715726642164313 0.271056025531729 0.335189017458976 0.36843001959281 0.371270600176287 0.357111749847574 0.25693614911312
"her" 0.54678585013313 0.534238101486494 0.939406983516066 0.677512530796024 0.397076076166411 0.509008262506215 0.411886592207005 1.03927303112597 0.365566037735849 0.680306645682084 0.724114545732975 0.636942675159236 0.752376826793735 1.04434651926947 0.547361801863603 0.389642689363584 0.354121581743065 1.23291264682736 0.530283669818554 0.729186142792275 0.354208402287838 0.558948815614506
"is" 0.584823126664131 0.59234821077099 0.640619856683463 0.804944354770198 0.41512498871943 0.790738417102678 0.480113205640067 0.658032170461667 0.445754716981132 0.469614662131289 0.520662422611625 0.73751257123701 0.706778231230478 0.662268524414784 1.20476762133425 0.953381048442811 0.413141845366909 0.460520563117549 0.413152738734134 0.389967680760704 0.452922219318875 0.464288129099146
"had" 0.679916317991632 0.65795639867284 0.678601271111336 0.683884121994733 0.514394007761032 0.535050545704207 0.583716581593976 0.582306246083142 0.785377358490566 0.596537543788394 0.741615803635886 0.64113308749581 0.697658512117827 0.669910084311877 0.207225747441834 0.599662862353884 0.607690121756618 0.475093998659244 0.824175824175824 0.667752878014904 0.589379554626484 0.680655412562825
