"tpc_ch1" "tpc_ch10" "tpc_ch11" "tpc_ch12" "tpc_ch13" "tpc_ch14" "tpc_ch15" "tpc_ch2" "tpc_ch3" "tpc_ch4" "tpc_ch5" "tpc_ch6" "tpc_ch7" "tpc_ch8" "tpc_ch9"
"the" 11.1489776046738 12.4317768344451 11.7778487073093 11.7478900081677 13.9351081530782 10.9680188881734 9.83951591686398 11.5288550019719 12.2225384177575 11.3599126160568 11.5137614678899 10.9266474673895 11.8065783014237 10.7594936708861 13.1734317343173
"of" 5.8666017526777 6.48878107944209 5.96872007660389 6.61584535801797 4.86688851913478 5.94548186306074 6.07734806629834 6.04706191665571 6.84405236198065 6.4991807755325 5.71100917431193 6.21717770625106 6.03829160530191 5.38995508370764 5.64575645756458
"and" 2.89678675754625 3.75985445724682 3.511011809767 2.85869861148925 2.74542429284526 2.81176218072548 4.20941857405946 3.01038517155252 3.25839499146272 3.54997269251775 2.61467889908257 2.81212942571574 2.33186057928326 2.36831359738669 2.50922509225092
"in" 3.79746835443038 2.97149787750152 2.872646026173 3.30792267900898 3.95174708818636 2.64005151320026 2.42041568008419 2.83948994347312 2.76038702333523 2.73074822501365 3.62385321100917 3.0662375063527 2.11094747177221 1.87831768068599 2.76752767527675
"to" 2.62901655306719 3.39599757428745 2.9364826045324 2.80424720936564 2.74542429284526 2.96200901481004 2.15732701920547 2.86578151702379 2.77461582242459 2.69433824868014 2.3394495412844 3.47281043537184 3.04369170348552 3.20538995508371 2.84132841328413
"church" 1.43622200584226 1.21285627653123 2.6492180019151 2.42308739450041 3.70216306156406 1.97467267654003 0.894501446987635 1.4328907585119 0.76835515082527 0.9466593846714 2.95871559633028 0.931729629002202 1.71821305841924 0.898325847284606 1.4760147601476
"a" 1.87439143135346 1.21285627653123 1.276731567188 1.40212360468282 1.49750415973378 1.41661300708307 1.47329650092081 1.49861969238859 1.53671030165054 1.7658838521755 1.60550458715596 1.33830255802135 1.81639666175749 1.71498570845243 1.43911439114391
"that" 1.46056475170399 1.15221346270467 1.5320778806256 0.939286686632181 0.707154742096506 1.52393217428633 1.65745856353591 1.6037859865913 1.28059191804212 1.20152921900601 1.28440366972477 1.28748094189395 2.33186057928326 1.49040424663128 1.25461254612546
"was" 1.36319376825706 1.33414190418435 1.3405681455474 1.08902804247209 0.748752079866889 1.09465550547328 0.342015259142331 0.946496647824372 1.16676152532726 1.0740943018387 0.665137614678899 1.37218363543961 0.760922925871379 1.4087382605145 1.1070110701107
"is" 1.41187925998053 0.181928441479685 1.1490584104692 0.558126871766948 0.873544093178037 1.07319167203263 2.05209155485399 1.0911003023531 0.654524758110415 0.801019479337338 1.03211009174312 0.7115026257835 1.57093765341188 0.530828909759085 0.3690036900369
"as" 0.754625121713729 0.363856882959369 0.766038940312799 0.762319629730466 1.03993344425957 0.794161837304142 0.736648250460405 0.999079794925726 1.03870233352305 0.910249408337885 0.825688073394495 0.880908012874809 0.810014727540501 0.837076357697019 0.996309963099631
"presbyterian" 0.754625121713729 0.363856882959369 0.702202361953399 1.52463925946093 2.66222961730449 0.8585533376261 0.0526177321757432 0.670435125542264 0.355719977233921 0.892044420171127 2.06422018348624 0.474335083855667 0.736377025036819 0.387913434054716 0.33210332103321
"it" 1.36319376825706 0.606428138265615 0.797957229492499 0.558126871766948 0.415973377703827 0.579523502897618 0.868192580899763 0.867621927172341 0.483779169038133 0.801019479337338 0.619266055045872 0.762324241910893 1.12911143838979 0.551245406288281 0.885608856088561
"which" 0.949367088607595 1.15221346270467 0.4787743376955 0.653416825483256 0.873544093178037 0.665378836660228 0.841883714811892 0.538977257788879 0.99601593625498 0.70999453850355 0.435779816513761 0.728443164492631 0.564555719194894 0.551245406288281 0.627306273062731
"by" 0.486854917234664 0.7883565797453 0.670284072773699 0.721481078137762 0.831946755407654 0.558059669456965 0.473559589581689 0.709872485868279 0.554923164484918 0.455124704168942 0.688073394495413 0.677621548365238 0.589101620029455 1.06165781951817 0.738007380073801
"this" 0.60856864654333 0.667070952092177 0.542610916054899 0.558126871766948 0.748752079866889 0.493668169135007 0.65772165219679 0.88076771394768 0.654524758110415 0.637174585836519 0.596330275229358 0.677621548365238 0.564555719194894 0.673744385463454 0.590405904059041
"for" 0.559883154819864 0.848999393571862 0.510692626875199 0.530901170705146 0.62396006655574 0.708306503541533 0.578795053933175 0.591560404890233 0.611838360842345 0.691789550336792 0.642201834862385 0.609859393528714 0.564555719194894 1.00040832993058 0.3690036900369
"dr" 0.365141187925998 0.0606428138265616 0.3830194701564 0.23141845902532 0 1.37368534020176 0.131544330439358 0.604706191665571 1.02447353443369 0.436919716002185 0.435779816513761 0.948670167711333 0.515463917525773 1.3679052674561 0.22140221402214
"board" 0 0.424499696785931 0.4149377593361 0.857609583446774 0.0415973377703827 0.321957501609788 0 0.0394373603260155 0.76835515082527 0.910249408337885 0.0458715596330275 1.8634592580044 1.20274914089347 0.653327888934259 0.922509225092251
"on" 0.657254138266796 0.667070952092177 0.3511011809767 0.490062619112442 0.62396006655574 0.60098733633827 0.394632991318074 0.578414618114894 0.668753557199772 0.655379574003277 0.619266055045872 0.491275622564798 0.515463917525773 0.796243364638628 0.44280442804428
"be" 0.511197663096397 0.727713765918739 0.542610916054899 0.517288320174245 0.249584026622296 0.42927666881305 0.394632991318074 0.538977257788879 0.483779169038133 0.327689787001638 0.756880733944954 0.626799932237845 0.883652430044183 0.489995916700694 0.516605166051661
"with" 0.511197663096397 0.606428138265615 0.638365783593999 0.544514021236047 0.665557404326123 0.42927666881305 0.236779794790845 0.473248323912186 0.341491178144565 0.418714727835427 1.00917431192661 0.660681009656107 0.441826215022091 0.653327888934259 0.516605166051661
"assembly" 0.559883154819864 0.909642207398423 0.606447494414299 0.517288320174245 0.0831946755407654 0.25756600128783 0 0.604706191665571 0.441092771770063 0.163844893500819 0.481651376146789 0.254108080636964 1.03092783505155 0.489995916700694 2.14022140221402
"not" 0.632911392405063 0.181928441479685 0.510692626875199 0.408385515927035 0.45757071547421 0.558059669456965 0.789265982636148 0.591560404890233 0.483779169038133 0.345894775168396 0.458715596330275 0.304929696764357 0.687285223367698 0.673744385463454 0.590405904059041
"general" 0.438169425511198 1.03092783505155 0.670284072773699 0.490062619112442 0.124792013311148 0.25756600128783 0 0.394373603260155 0.313033579965851 0.218459858001092 0.55045871559633 0.271048619346095 1.64457535591556 0.449162923642303 1.40221402214022
"had" 0.316455696202532 1.03092783505155 0.638365783593999 0.639803974952355 0.62396006655574 0.193174500965872 0.15785319652723 0.223478375180755 0.426863972680706 0.509739668669215 0.0458715596330275 0.491275622564798 0.270004909180167 0.653327888934259 1.14391143911439
"were" 0.53554040895813 0.970285021224985 0.3511011809767 0.598965423359652 0.499168053244592 0.450740502253702 0.236779794790845 0.394373603260155 0.369948776323278 0.582559621336246 0.229357798165138 0.474335083855667 0.319096710849288 0.408329930583912 0.47970479704797
"its" 0.316455696202532 0.303214069132808 0.702202361953399 0.58535257282875 0.45757071547421 0.321957501609788 0.473559589581689 0.394373603260155 0.483779169038133 0.4733296923357 0.481651376146789 0.474335083855667 0.441826215022091 0.244997958350347 0.33210332103321
"from" 0.365141187925998 0.424499696785931 0.2553463134376 0.35393411380343 0.831946755407654 0.77269800386349 0.526177321757432 0.302353095832786 0.327262379055208 0.491534680502458 0.412844036697248 0.406572929019143 0.294550810014728 0.387913434054716 0.25830258302583
"but" 0.68159688412853 0.121285627653123 0.734120651133099 0.326708412741628 0.249584026622296 0.558059669456965 0.473559589581689 0.460102537136848 0.298804780876494 0.254869834334608 0.458715596330275 0.372691851600881 0.466372115856652 0.347080440996325 0.29520295202952
"he" 0.292112950340798 0.181928441479685 0.670284072773699 0.326708412741628 0.0415973377703827 0.300493668169135 0.342015259142331 0.407519390035494 0.398406374501992 0.364099763335154 0.321100917431193 0.474335083855667 0.270004909180167 0.673744385463454 0.25830258302583
"his" 0.340798442064265 0.363856882959369 0.574529205234599 0.272257010618023 0.207986688851913 0.407812835372397 0.394632991318074 0.368082029709478 0.284575981787137 0.273074822501365 0.114678899082569 0.372691851600881 0.220913107511046 0.959575336872193 0.11070110701107
"at" 0.340798442064265 0.181928441479685 0.2553463134376 0.217805608494419 0.124792013311148 0.51513200257566 0.289397526966588 0.315498882608124 0.7256687535572 0.655379574003277 0.298165137614679 0.271048619346095 0.122729504172803 0.306247447937934 0.18450184501845
"seminary" 0.0973709834469328 0.303214069132808 0.0319182891797 0.0680642526545059 0 0.493668169135007 0.0526177321757432 0.0657289338766925 1.03870233352305 1.78408884034225 0.0917431192660551 0.0338810774182619 0.0245459008345606 0.163331972233565 0.03690036900369
"an" 0.146056475170399 0.181928441479685 0.3511011809767 0.381159814865233 0.45757071547421 0.42927666881305 0.15785319652723 0.368082029709478 0.327262379055208 0.327689787001638 0.298165137614679 0.372691851600881 0.417280314187531 0.306247447937934 0.25830258302583
"d" 0 0.485142510612492 0.0957548675390999 0.245031309556221 0.166389351081531 0.236102167847177 0.0263088660878716 0.604706191665571 0.611838360842345 0.455124704168942 0.206422018348624 0.18634592580044 0.0490918016691213 0.653327888934259 0.516605166051661
"usa" 0.365141187925998 0.181928441479685 0.574529205234599 0.476449768581541 1.12312811980033 0.450740502253702 0.0526177321757432 0.223478375180755 0.142287990893569 0.309484798834881 0.802752293577982 0.16940538709131 0.245459008345606 0.0612494895875868 0.14760147601476
