,Source,Target,Weight,Type
1,Machen_ChristianityLiberalism,Machen_LitHistNT,5,undirected
2,Machen_ChristianityLiberalism,Machen_OriginPaulReligion,4,undirected
3,Machen_ChristianityLiberalism,VanTil_ChristianTheisticEthics,1,undirected
4,Machen_ChristianityLiberalism,VanTil_ProtestantDoctrineScripture,1,undirected
5,Machen_ChristianityLiberalism,VanTil_SurveyChristianEpistemology,1,undirected
6,Machen_LitHistNT,Machen_ChristianityLiberalism,5,undirected
7,Machen_LitHistNT,Machen_OriginPaulReligion,6,undirected
8,Machen_LitHistNT,Mencken_AmericanLanguage,1,undirected
9,Machen_OriginPaulReligion,Machen_ChristianityLiberalism,4,undirected
10,Machen_OriginPaulReligion,Machen_LitHistNT,6,undirected
11,Machen_OriginPaulReligion,VanTil_ChristianTheisticEthics,1,undirected
12,Mencken_AmericanLanguage,Machen_LitHistNT,1,undirected
13,Mencken_AmericanLanguage,Mencken_DefenseWomen,5,undirected
14,Mencken_AmericanLanguage,Mencken_Nietzche,4,undirected
15,Mencken_AmericanLanguage,Poe_FallHouseUsher,1,undirected
16,Mencken_AmericanLanguage,Poe_Works1,1,undirected
17,Mencken_AmericanLanguage,Rian_Unbelief,1,undirected
18,Mencken_DefenseWomen,Mencken_AmericanLanguage,5,undirected
19,Mencken_DefenseWomen,Mencken_Nietzche,6,undirected
20,Mencken_DefenseWomen,Poe_FallHouseUsher,2,undirected
21,Mencken_DefenseWomen,Poe_Works1,3,undirected
22,Mencken_DefenseWomen,Rian_Unbelief,2,undirected
23,Mencken_Nietzche,Mencken_AmericanLanguage,4,undirected
24,Mencken_Nietzche,Mencken_DefenseWomen,6,undirected
25,Mencken_Nietzche,Poe_Works1,2,undirected
26,Mencken_Nietzche,VanTil_ChristianTheisticEthics,1,undirected
27,Poe_FallHouseUsher,Mencken_AmericanLanguage,1,undirected
28,Poe_FallHouseUsher,Mencken_DefenseWomen,2,undirected
29,Poe_FallHouseUsher,Poe_Works1,6,undirected
30,Poe_FallHouseUsher,Rian_Unbelief,3,undirected
31,Poe_Works1,Mencken_AmericanLanguage,1,undirected
32,Poe_Works1,Mencken_DefenseWomen,3,undirected
33,Poe_Works1,Mencken_Nietzche,2,undirected
34,Poe_Works1,Poe_FallHouseUsher,6,undirected
35,Rian_Unbelief,Mencken_AmericanLanguage,1,undirected
36,Rian_Unbelief,Mencken_DefenseWomen,2,undirected
37,Rian_Unbelief,Poe_FallHouseUsher,3,undirected
38,VanTil_ChristianTheisticEthics,Machen_ChristianityLiberalism,1,undirected
39,VanTil_ChristianTheisticEthics,Machen_OriginPaulReligion,1,undirected
40,VanTil_ChristianTheisticEthics,Mencken_Nietzche,1,undirected
41,VanTil_ChristianTheisticEthics,VanTil_ProtestantDoctrineScripture,5,undirected
42,VanTil_ChristianTheisticEthics,VanTil_SurveyChristianEpistemology,6,undirected
43,VanTil_ProtestantDoctrineScripture,Machen_ChristianityLiberalism,1,undirected
44,VanTil_ProtestantDoctrineScripture,VanTil_ChristianTheisticEthics,5,undirected
45,VanTil_ProtestantDoctrineScripture,VanTil_SurveyChristianEpistemology,4,undirected
46,VanTil_SurveyChristianEpistemology,Machen_ChristianityLiberalism,1,undirected
47,VanTil_SurveyChristianEpistemology,VanTil_ChristianTheisticEthics,6,undirected
48,VanTil_SurveyChristianEpistemology,VanTil_ProtestantDoctrineScripture,4,undirected
