,Source,Target,Weight,Type
1,Machen_ChristianityLiberalism,Machen_LitHistNT,144,undirected
2,Machen_ChristianityLiberalism,Machen_OriginPaulReligion,126,undirected
3,Machen_ChristianityLiberalism,Mencken_DefenseWomen,1,undirected
4,Machen_ChristianityLiberalism,Mencken_Nietzche,6,undirected
5,Machen_ChristianityLiberalism,Rian_Unbelief,5,undirected
6,Machen_ChristianityLiberalism,VanTil_ChristianTheisticEthics,38,undirected
7,Machen_ChristianityLiberalism,VanTil_ProtestantDoctrineScripture,29,undirected
8,Machen_ChristianityLiberalism,VanTil_SurveyChristianEpistemology,30,undirected
9,Machen_LitHistNT,Machen_ChristianityLiberalism,144,undirected
10,Machen_LitHistNT,Machen_OriginPaulReligion,180,undirected
11,Machen_LitHistNT,Mencken_AmericanLanguage,1,undirected
12,Machen_LitHistNT,Mencken_Nietzche,7,undirected
13,Machen_LitHistNT,Poe_Works1,15,undirected
14,Machen_LitHistNT,Rian_Unbelief,3,undirected
15,Machen_LitHistNT,VanTil_ChristianTheisticEthics,9,undirected
16,Machen_OriginPaulReligion,Machen_ChristianityLiberalism,126,undirected
17,Machen_OriginPaulReligion,Machen_LitHistNT,180,undirected
18,Machen_OriginPaulReligion,Poe_Works1,14,undirected
19,Machen_OriginPaulReligion,VanTil_ChristianTheisticEthics,17,undirected
20,Mencken_AmericanLanguage,Machen_LitHistNT,1,undirected
21,Mencken_AmericanLanguage,Mencken_DefenseWomen,149,undirected
22,Mencken_AmericanLanguage,Mencken_Nietzche,106,undirected
23,Mencken_AmericanLanguage,Poe_FallHouseUsher,24,undirected
24,Mencken_AmericanLanguage,Poe_Works1,31,undirected
25,Mencken_AmericanLanguage,Rian_Unbelief,20,undirected
26,Mencken_DefenseWomen,Machen_ChristianityLiberalism,1,undirected
27,Mencken_DefenseWomen,Mencken_AmericanLanguage,149,undirected
28,Mencken_DefenseWomen,Mencken_Nietzche,180,undirected
29,Mencken_DefenseWomen,Poe_FallHouseUsher,50,undirected
30,Mencken_DefenseWomen,Poe_Works1,61,undirected
31,Mencken_DefenseWomen,Rian_Unbelief,25,undirected
32,Mencken_Nietzche,Machen_ChristianityLiberalism,6,undirected
33,Mencken_Nietzche,Machen_LitHistNT,7,undirected
34,Mencken_Nietzche,Mencken_AmericanLanguage,106,undirected
35,Mencken_Nietzche,Mencken_DefenseWomen,180,undirected
36,Mencken_Nietzche,Poe_FallHouseUsher,1,undirected
37,Mencken_Nietzche,Poe_Works1,90,undirected
38,Mencken_Nietzche,Rian_Unbelief,1,undirected
39,Mencken_Nietzche,VanTil_ChristianTheisticEthics,25,undirected
40,Mencken_Nietzche,VanTil_ProtestantDoctrineScripture,1,undirected
41,Poe_FallHouseUsher,Mencken_AmericanLanguage,24,undirected
42,Poe_FallHouseUsher,Mencken_DefenseWomen,50,undirected
43,Poe_FallHouseUsher,Mencken_Nietzche,1,undirected
44,Poe_FallHouseUsher,Poe_Works1,180,undirected
45,Poe_FallHouseUsher,Rian_Unbelief,93,undirected
46,Poe_Works1,Machen_LitHistNT,15,undirected
47,Poe_Works1,Machen_OriginPaulReligion,14,undirected
48,Poe_Works1,Mencken_AmericanLanguage,31,undirected
49,Poe_Works1,Mencken_DefenseWomen,61,undirected
50,Poe_Works1,Mencken_Nietzche,90,undirected
51,Poe_Works1,Poe_FallHouseUsher,180,undirected
52,Poe_Works1,Rian_Unbelief,26,undirected
53,Rian_Unbelief,Machen_ChristianityLiberalism,5,undirected
54,Rian_Unbelief,Machen_LitHistNT,3,undirected
55,Rian_Unbelief,Mencken_AmericanLanguage,20,undirected
56,Rian_Unbelief,Mencken_DefenseWomen,25,undirected
57,Rian_Unbelief,Mencken_Nietzche,1,undirected
58,Rian_Unbelief,Poe_FallHouseUsher,93,undirected
59,Rian_Unbelief,Poe_Works1,26,undirected
60,Rian_Unbelief,VanTil_ProtestantDoctrineScripture,22,undirected
61,VanTil_ChristianTheisticEthics,Machen_ChristianityLiberalism,38,undirected
62,VanTil_ChristianTheisticEthics,Machen_LitHistNT,9,undirected
63,VanTil_ChristianTheisticEthics,Machen_OriginPaulReligion,17,undirected
64,VanTil_ChristianTheisticEthics,Mencken_Nietzche,25,undirected
65,VanTil_ChristianTheisticEthics,VanTil_ProtestantDoctrineScripture,150,undirected
66,VanTil_ChristianTheisticEthics,VanTil_SurveyChristianEpistemology,180,undirected
67,VanTil_ProtestantDoctrineScripture,Machen_ChristianityLiberalism,29,undirected
68,VanTil_ProtestantDoctrineScripture,Mencken_Nietzche,1,undirected
69,VanTil_ProtestantDoctrineScripture,Rian_Unbelief,22,undirected
70,VanTil_ProtestantDoctrineScripture,VanTil_ChristianTheisticEthics,150,undirected
71,VanTil_ProtestantDoctrineScripture,VanTil_SurveyChristianEpistemology,120,undirected
72,VanTil_SurveyChristianEpistemology,Machen_ChristianityLiberalism,30,undirected
73,VanTil_SurveyChristianEpistemology,VanTil_ChristianTheisticEthics,180,undirected
74,VanTil_SurveyChristianEpistemology,VanTil_ProtestantDoctrineScripture,120,undirected
