"Machen_ChristianityLiberalism" "Machen_LitHistNT" "Machen_OriginPaulReligion" "Mencken_AmericanLanguage" "Mencken_DefenseWomen" "Mencken_Nietzche" "Poe_FallHouseUsher" "Poe_Works1" "Rian_Unbelief" "VanTil_ChristianTheisticEthics" "VanTil_ProtestantDoctrineScripture" "VanTil_SurveyChristianEpistemology"
"the" 8.69894232969044 10.226548994632 9.55325997202609 6.84526140804373 6.22655122655123 6.25951048409976 7.32041495400274 7.70463105405549 10.9332292073409 7.83886724680936 7.83069687900812 7.56263229930886
"of" 5.38514333984478 5.59639705213356 5.65629160277043 4.19593200866863 4.63443963443963 4.45670956593506 5.3141514973576 4.61726168373031 5.54470909800859 5.65248700752219 6.06412997007268 5.46794637468014
"to" 2.51130704116291 2.39013738513329 2.66594765844863 2.57360940668599 2.81144781144781 2.85765868000928 1.95733020160501 2.48687072303857 2.81140179617337 3.11559184098422 3.02522445489525 2.96945533065263
"in" 2.32124315858015 2.59667000272951 2.62297568291738 3.12279693986788 2.13083213083213 2.09939906636061 1.97690350362106 2.10917192721872 3.90472471690746 2.39200409512489 2.39247541684481 2.28086133757258
"and" 1.75105151083188 1.73414611955236 1.77701757638058 3.59800516984778 3.37662337662338 3.95507182833415 3.08279506752789 2.61418492387672 2.88949629051152 1.97034504897665 2.24369388627619 1.75889008849708
"is" 2.93895077697411 1.96251478482395 1.91688714379603 1.68150604454424 2.23905723905724 1.59131354292936 0.322959483264827 0.917723197708344 0.93713393205779 2.44753121231314 2.37024369388628 2.62430821807177
"a" 1.90591837812154 1.77235920298426 1.5495188823916 2.02094049452988 2.72727272727273 2.125190209682 2.13348991974946 2.28953371173943 2.57711831315892 1.4948941080523 1.30825138948268 1.52425806122536
"that" 1.79856748147757 1.15276135019561 1.34898299657909 0.903417843807932 1.72679172679173 1.96786423542156 0.94930514777843 1.12885258076495 1.60093713393206 2.41716482010082 1.98546387345019 2.9601040542034
"it" 1.58034598666033 1.11909744336275 1.30685360880336 1.31247987327781 1.26022126022126 1.50362365563665 0.704638872577804 1.24131345817198 0.898086684888715 1.44370504689439 1.11671654553228 1.5574125868181
"as" 0.858807173151717 0.796105904831226 0.920105829022093 1.04876541598127 0.983645983645984 0.980063446212571 0.685065570561754 0.764946156702562 0.663803201874268 1.3118281435723 1.30825138948268 1.19611326946128
"be" 1.20373792302413 0.905286143208079 0.99256837599636 0.365544792292227 0.562770562770563 0.60738142521858 0.391466040321002 0.570792000424381 0.50761421319797 1.10533667652851 0.822573749465584 1.31597963121966
"was" 0.626506872217236 1.26103175325266 1.3321312414688 0.578779254462693 0.257335257335257 1.01875016119465 0.812292033666079 1.10869449896557 1.36665365091761 0.596048898567574 0.271911073108166 0.456512313930852
"not" 1.12806434014396 0.88617960149213 1.03975329030519 0.499577882799377 0.553150553150553 0.464240579784902 0.665492268545704 0.635510052517108 0.390472471690746 0.819024978526623 0.834544677212484 0.89857265516743
"he" 0.608908364570684 0.653261759621508 0.716199592187526 0.554409601643211 0.606060606060606 1.46751605498672 0.557839107457428 0.541085353562145 0.156188988676298 0.831171535411551 0.966224882428388 0.824612559614387
"for" 0.665223589039649 0.677827313256301 0.579700375794139 0.89384405162885 0.832130832130832 0.824027029118201 0.782932080642004 0.652485279295528 0.546661460367044 0.777379640635438 0.596836254809748 0.763404204673938
"but" 1.1773401615543 0.756073150759712 0.876291265735326 0.767644063813677 0.521885521885522 0.656384597529209 0.420825993345077 0.602620550633919 0.624755954705193 0.467642440069756 0.487387772552373 0.523671481157178
"by" 0.663463738274994 0.721499408607042 0.792875077939367 0.670165452535749 0.841750841750842 0.613829211048926 0.518692503425328 0.705532862978091 0.351425224521671 0.583902341682645 0.682342881573322 0.456512313930852
"his" 0.452281646516375 0.571376580838868 0.643737045213259 0.40819168472632 0.781625781625782 1.3720888246976 0.861225288706205 0.593071985571057 0.195236235845373 0.693221353647004 0.786660966224882 0.52027101699382
"with" 0.640585678334477 0.650532253662087 0.737264286075395 0.531780638310835 0.56036556036556 0.477136151445594 1.04717165785868 0.849822290594663 0.312377977352597 0.653311238167952 0.803762291577597 0.602732272955258
"this" 0.325572391461204 0.357565280684196 0.363997910382366 0.377729618701968 0.408850408850409 0.590617182059681 0.85143863769818 0.736300461513978 0.702850449043342 1.07236745069799 0.873877725523728 0.994635767782302
"god" 0.747936574978442 0.408516058593395 0.198008122545963 0.00609241320487045 0.0577200577200577 0.0812421014623578 0 0.0148533234311177 0.546661460367044 1.11054234376491 1.52885848653271 1.2394691875441
"we" 0.564912095454305 0.265671913383678 0.0589811428860316 0.179291017171902 0.076960076960077 0.363655120831506 0.215306322176551 0.527292981804679 0.390472471690746 1.14871723683183 0.629328772979906 1.13660514660251
"which" 0.696900902803442 0.506778273132563 0.765069682007381 0.241955838707712 0.31024531024531 0.425553864802827 0.998238402818555 0.700228104609835 0.585708707536119 0.47371571851222 0.408721675929885 0.340896532376669
"are" 0.718019111979304 0.534983168046584 0.317655583829056 0.591834425615987 0.697450697450697 0.382998478322544 0.225092973184576 0.280091241843934 0.468566966028895 0.390425042729852 0.56434373663959 0.448011153522456
"have" 0.413564929693962 0.403966881994359 0.4802750206434 0.437783406007119 0.442520442520443 0.317231062853016 0.332746134272852 0.645058617579969 0.390472471690746 0.439878881475633 0.348867037195383 0.57977913985259
