,Source,Target,Weight,Type
1,baum-dwo,baum-eco,2,undirected
2,baum-dwo,baum-lpo,4,undirected
3,baum-dwo,baum-mo,1,undirected
4,baum-dwo,baum-so,5,undirected
5,baum-dwo,baum-tto,2,undirected
6,baum-dwo,baum-wwo,1,undirected
7,baum-eco,baum-dwo,2,undirected
8,baum-eco,baum-lpo,1,undirected
9,baum-eco,baum-ro,1,undirected
10,baum-eco,baum-tto,3,undirected
11,baum-go,baum-lpo,3,undirected
12,baum-go,baum-mo,2,undirected
13,baum-go,baum-oo,1,undirected
14,baum-lpo,baum-dwo,4,undirected
15,baum-lpo,baum-eco,1,undirected
16,baum-lpo,baum-go,3,undirected
17,baum-lpo,baum-mo,6,undirected
18,baum-lpo,baum-oo,2,undirected
19,baum-lpo,baum-tto,1,undirected
20,baum-lwso,baum-oo,1,undirected
21,baum-lwso,baum-ro,2,undirected
22,baum-lwso,baum-tto,3,undirected
23,baum-mlo,baum-oo,3,undirected
24,baum-mlo,baum-tto,1,undirected
25,baum-mlo,baum-two,2,undirected
26,baum-mo,baum-dwo,1,undirected
27,baum-mo,baum-go,2,undirected
28,baum-mo,baum-lpo,6,undirected
29,baum-mo,baum-tto,2,undirected
30,baum-oo,baum-go,1,undirected
31,baum-oo,baum-lpo,2,undirected
32,baum-oo,baum-lwso,1,undirected
33,baum-oo,baum-mlo,3,undirected
34,baum-oo,baum-tto,5,undirected
35,baum-oo,baum-two,2,undirected
36,baum-oo,baum-wwo,2,undirected
37,baum-rbo,thompson-ko,6,undirected
38,baum-rbo,thompson-owo,2,undirected
39,baum-rbo,thompson-spo,1,undirected
40,baum-ro,baum-eco,1,undirected
41,baum-ro,baum-lwso,2,undirected
42,baum-ro,baum-so,3,undirected
43,baum-ro,baum-tto,2,undirected
44,baum-so,baum-dwo,5,undirected
45,baum-so,baum-ro,3,undirected
46,baum-so,baum-tto,6,undirected
47,baum-so,baum-two,3,undirected
48,baum-tto,baum-dwo,2,undirected
49,baum-tto,baum-eco,3,undirected
50,baum-tto,baum-lpo,1,undirected
51,baum-tto,baum-lwso,3,undirected
52,baum-tto,baum-mlo,1,undirected
53,baum-tto,baum-mo,2,undirected
54,baum-tto,baum-oo,5,undirected
55,baum-tto,baum-ro,2,undirected
56,baum-tto,baum-so,6,undirected
57,baum-tto,baum-two,3,undirected
58,baum-two,baum-mlo,2,undirected
59,baum-two,baum-oo,2,undirected
60,baum-two,baum-so,3,undirected
61,baum-two,baum-tto,3,undirected
62,baum-two,baum-wwo,3,undirected
63,baum-wwo,baum-dwo,1,undirected
64,baum-wwo,baum-oo,2,undirected
65,baum-wwo,baum-two,3,undirected
66,thompson-cso,thompson-owo,3,undirected
67,thompson-cso,thompson-spo,6,undirected
68,thompson-cso,thompson-who,1,undirected
69,thompson-hmo,thompson-owo,1,undirected
70,thompson-hmo,thompson-spo,2,undirected
71,thompson-hmo,thompson-who,6,undirected
72,thompson-ko,baum-rbo,6,undirected
73,thompson-ko,thompson-owo,2,undirected
74,thompson-ko,thompson-who,1,undirected
75,thompson-owo,baum-rbo,2,undirected
76,thompson-owo,thompson-cso,3,undirected
77,thompson-owo,thompson-hmo,1,undirected
78,thompson-owo,thompson-ko,2,undirected
79,thompson-owo,thompson-spo,4,undirected
80,thompson-owo,thompson-who,3,undirected
81,thompson-spo,baum-rbo,1,undirected
82,thompson-spo,thompson-cso,6,undirected
83,thompson-spo,thompson-hmo,2,undirected
84,thompson-spo,thompson-owo,4,undirected
85,thompson-spo,thompson-who,4,undirected
86,thompson-who,thompson-cso,1,undirected
87,thompson-who,thompson-hmo,6,undirected
88,thompson-who,thompson-ko,1,undirected
89,thompson-who,thompson-owo,3,undirected
90,thompson-who,thompson-spo,4,undirected
